Date,Open,High,Low,Close,Volume
2024-09-23,10.0,10.01,10.0,10.01,231206
2024-09-24,10.04,10.05,10.04,10.05,12528
2024-09-25,10.0,10.05,10.0,10.0018,29202
2024-09-26,10.04,10.04,10.01,10.02,102103
2024-09-27,10.01,10.01,10.01,10.01,50707
2024-09-30,10.02,10.02,10.02,10.02,1570
2024-10-01,10.01,10.02,10.01,10.02,73744
2024-10-02,10.01,10.02,10.01,10.011492,151234
2024-10-03,10.02,10.02,10.02,10.02,2000
2024-10-08,10.0234,10.0234,10.0234,10.0234,500
2024-10-09,10.04,10.04,10.02,10.04,101803
2024-10-10,10.022,10.04,10.015,10.04,25639
2024-10-11,10.03,10.03,10.015,10.03,11206
2024-10-15,10.03,10.03,10.02,10.03,6722
2024-10-16,10.03,10.038,10.03,10.03,906
2024-10-17,10.03,10.03,10.03,10.03,500
2024-10-18,10.03,10.03,10.03,10.03,513
2024-10-22,10.04,10.05,10.04,10.05,40302
2024-10-23,10.05,10.07,10.05,10.06,20815
2024-10-28,10.15,10.15,10.097602,10.097602,700
2024-10-29,10.06,10.07,10.06,10.07,202600
2024-10-30,10.06,10.065,10.06,10.065,1692
2024-10-31,10.12,10.12,10.07,10.08,16592
2024-11-01,10.07,10.07,10.07,10.07,20000
2024-11-07,10.08,10.08,10.08,10.08,101
2024-11-11,10.12,10.12,10.08,10.08,10101
2024-11-14,10.09,10.09,10.09,10.09,102
2024-12-26,10.12,10.12,10.12,10.12,101
2024-12-27,10.15,10.25,10.12,10.12,3200
2025-01-23,10.35,10.35,10.35,10.35,600
2025-01-27,10.35,10.6,10.19,10.19,5630
2025-01-28,10.2,10.2,10.2,10.2,574
2025-01-29,10.32,10.35,10.32,10.35,600
2025-02-04,10.53,10.53,10.53,10.53,1901
2025-02-05,10.2055,10.23,10.2055,10.23,200
2025-02-10,10.2789,10.2789,10.2789,10.2789,100
