Date,Open,High,Low,Close,Volume
2014-01-31,139.44,169.8,135.12,154.92,167999.9999328
2014-02-03,154.92,164.4,150.0,151.56,19197.083325655
2014-02-04,150.0,150.888,136.08,140.88,15512.916660462
2014-02-05,138.12,139.2,124.8,127.2,18103.249992759
2014-02-06,128.4,140.76,128.04,140.04,4654.7499981381
2014-02-07,133.8,144.48,133.8,142.08,3017.5833321263
2014-02-10,144.0,169.08,144.0,164.16,21808.83332461
2014-02-11,169.8,180.0,152.4,157.8,32437.416653692
2014-02-12,158.16,167.4,148.32,160.68,7990.6666634704
2014-02-13,156.12,166.8,155.76,161.88,2914.6666655008
2014-02-14,160.8,166.56,156.6,158.88,6053.9166642451
2014-02-18,161.88,170.16,157.32,166.32,14196.916660988
2014-02-19,168.0,170.04,157.8,159.12,6387.4166641117
2014-02-20,165.48,171.48,144.96,166.92,19380.583325581
2014-02-21,173.64,187.2,168.0,180.0,35140.333319277
2014-02-24,183.48,188.28,170.4,173.76,17104.249993158
2014-02-25,183.84,189.0,176.4,178.8,39551.083317513
2014-02-26,181.8,190.44,176.76,185.4,26268.749989493
2014-02-27,195.36,219.72,191.04,208.32,57781.749976887
2014-02-28,217.08,254.64,216.0,226.56,88891.583297777
2014-03-03,221.88,275.28,217.2,255.36,54770.749978092
2014-03-04,272.52,278.88,257.52,262.32,43272.749982691
2014-03-05,269.28,279.0,264.132,269.88,27253.583322432
2014-03-06,271.2,275.88,242.64,254.28,32742.583320236
2014-03-07,261.84,262.44,232.68,240.0,19222.999992311
2014-03-10,237.96,243.84,227.04,242.04,16266.249993494
2014-03-11,248.76,259.8,239.16,240.84,29145.499988342
2014-03-12,242.28,245.4,231.12,240.0,14675.583327463
2014-03-13,240.36,242.76,218.28,221.16,24780.999990088
2014-03-14,218.64,229.08,204.0,207.12,25176.666656596
2014-03-17,213.48,233.76,199.44,222.0,30034.08332132
2014-03-18,227.64,243.0,222.6,239.4,16556.999993377
2014-03-19,240.3,244.8,223.92,228.6,17981.333326141
2014-03-20,225.0,230.748,210.732,217.56,10935.833328959
2014-03-21,221.64,230.4,202.92,205.8,26426.999989429
2014-03-24,205.32,207.36,184.8,198.24,16514.749993394
2014-03-25,198.0,214.56,198.0,202.68,13054.166661445
2014-03-26,203.4,218.64,200.64,203.64,20408.33332517
2014-03-27,202.2,212.88,186.0,207.72,29384.416654913
2014-03-28,207.72,207.72,193.2,198.24,26416.833322767
2014-03-31,196.8,227.16,192.96,223.32,80967.999967613
2014-04-01,225.6,240.0,218.808,231.0,19550.833325513
2014-04-02,236.28,248.4,230.604,239.64,28188.083322058
2014-04-03,240.0,240.0,217.32,225.24,18308.83332601
2014-04-04,227.04,231.0,210.36,222.0,17077.999993169
2014-04-07,219.96,224.88,208.2,211.2,9692.3333294564
2014-04-08,212.52,220.68,206.76,219.48,10351.083329193
2014-04-09,221.28,223.44,215.88,219.6,21257.83332483
