Date,Open,High,Low,Close,Volume
2014-02-06,88.4886,100.885,86.4366,92.7634,206521.49997478
2014-02-07,91.0534,96.6962,89.8564,95.3282,20199.381247533
2014-02-10,97.8076,97.8076,94.4732,95.4992,5696.862499304
2014-02-11,94.0458,97.7222,94.0458,97.7222,2602.5723211107
2014-02-12,98.3206,98.3206,95.8412,97.5512,709.7392856276
2014-02-13,96.6962,98.3206,94.9008,98.3206,11185.87946292
2014-02-14,98.3206,102.595,95.5078,96.6962,4193.6374994878
2014-02-18,98.3206,98.748,96.6962,98.3206,336.857142816
2014-02-19,97.8932,106.357,97.8932,106.186,2674.7392853876
2014-02-20,107.469,109.521,103.878,109.008,3008.5553567754
2014-02-21,109.777,128.244,109.435,122.602,9158.30357031
2014-02-24,127.902,132.263,125.85,132.092,25419.263389753
2014-02-25,135.939,150.165,128.244,142.608,9933.5428559295
2014-02-26,144.147,165.29,142.437,147.566,21178.606247413
2014-02-27,149.105,160.305,145.856,148.507,15738.480355221
2014-02-28,154.15,157.706,136.879,138.504,5338.3669636335
2014-03-03,143.463,143.463,126.449,132.092,13314.395534088
2014-03-04,134.4,142.907,130.809,134.742,6131.1508921085
2014-03-05,136.879,151.328,136.794,144.745,8266.333927562
2014-03-06,148.934,152.354,129.698,134.827,7811.57678476
2014-03-07,137.136,144.035,120.302,130.467,18842.010711985
2014-03-10,128.928,138.418,128.928,135.853,5925.1767849905
2014-03-11,142.522,142.522,127.988,136.452,22237.717854427
2014-03-12,136.366,141.924,136.281,137.991,11661.105355719
2014-03-13,145.258,145.258,137.307,144.403,16707.997319388
2014-03-14,144.232,150.131,141.667,145.771,5131.924999373
2014-03-17,147.566,147.908,132.434,133.887,5076.24999938
2014-03-18,143.463,146.592,130.04,142.693,4886.2999994032
2014-03-19,145.258,149.618,135.853,139.786,6039.216963548
2014-03-20,139.017,145.344,133.374,142.95,6814.9241063105
2014-03-21,144.232,144.745,138.931,143.89,17928.753569239
2014-03-24,144.66,144.916,133.032,142.009,6489.646427779
2014-03-25,144.831,149.789,135.682,138.333,8577.458927524
2014-03-26,138.076,145.087,138.076,141.924,5158.12499937
2014-03-27,149.533,149.533,138.589,140.47,8174.7508918585
2014-03-28,140.812,148.165,132.605,135.939,15288.401783847
2014-03-31,137.563,141.24,131.579,138.76,67889.11249171
2014-04-01,138.418,147.481,130.399,146.882,6614.4473206205
2014-04-02,146.626,149.447,142.266,144.831,7114.937499131
2014-04-03,143.463,144.318,132.861,133.887,8157.791070432
2014-04-04,134.4,134.4,122.431,125.508,15749.12410522
2014-04-07,115.334,124.824,114.736,120.55,8486.928570392
2014-04-08,121.063,128.159,117.728,124.397,8594.7696418075
2014-04-09,124.91,135.597,122.26,133.545,11020.608927226
2014-04-10,132.69,133.716,124.91,126.62,13728.799998323
2014-04-11,125.423,129.98,119.78,124.311,4771.7919637029
2014-04-14,125.936,132.348,123.038,124.14,2418.5874997046
2014-04-15,121.49,125.423,113.795,115.933,5731.4839278715
2014-04-16,119.78,119.866,110.803,116.788,4441.7187494575
2014-04-17,115.762,117.386,111.154,113.881,4164.5133923485
2014-04-21,118.754,118.754,112.171,114.052,1388.2491069733
2014-04-22,114.308,116.702,114.308,116.104,815.0071427576
2014-04-23,116.531,122.687,111.384,118.84,11293.252677192
2014-04-24,119.866,129.441,117.557,119.609,6866.3883920185
2014-04-25,119.438,126.791,112.0,113.881,6384.8464277915
2014-04-28,120.721,120.721,112.427,114.736,4099.0133923565
2014-04-29,118.925,119.353,113.795,117.557,3002.2392853476
2014-04-30,118.156,118.156,111.658,115.334,4051.8767852194
2014-05-01,114.308,117.13,111.316,115.762,1963.2455354745
2014-05-02,115.847,117.198,105.973,108.666,7163.8285705535
2014-05-05,108.324,109.093,98.3206,103.707,5867.5133921405
2014-05-06,103.108,109.093,98.3206,98.919,5434.628570765
2014-05-07,98.3206,104.305,97.3802,99.1756,2632.6321425356
2014-05-08,106.87,108.922,96.0978,96.6106,6317.4749992285
2014-05-09,96.3542,98.2352,85.5816,96.5252,3143.7660710446
2014-05-12,96.4396,96.4396,87.6764,91.5664,3358.3955353041
2014-05-13,91.652,101.997,91.652,94.6442,3416.526785297
2014-05-14,94.7298,97.5512,89.8564,91.139,3500.6241067153
2014-05-15,89.771,95.2428,87.719,90.455,2294.3714282912
2014-05-16,91.481,94.1312,90.284,92.1648,3665.4267852666
2014-05-19,90.8824,92.5838,87.4626,90.797,2116.3517854558
2014-05-20,90.968,96.7816,90.8824,92.6778,3964.1535709444
2014-05-21,96.6106,96.6962,88.061,89.6,2459.4080354139
2014-05-22,93.6184,94.0458,88.1466,90.7114,2597.3089282542
2014-05-23,90.968,96.3542,90.7114,95.0718,10092.38035591
2014-05-27,95.6274,100.757,93.1908,95.2428,4422.419642317
2014-05-28,95.6702,95.9268,89.942,91.0534,1902.4241069105
2014-05-29,95.0718,95.7558,90.626,93.6184,936.883928457
2014-05-30,93.9604,94.2168,89.771,92.3358,1602.41071409
2014-06-02,91.9938,94.0458,91.9938,93.7038,789.2749999036
2014-06-03,93.6184,97.4656,88.916,89.942,1763.5874997846
2014-06-04,93.3618,94.0458,85.8382,88.8306,4091.6446423574
2014-06-05,93.9604,93.9604,86.4366,89.6,1132.3312498617
2014-06-06,89.942,94.9008,89.942,91.652,1998.6857140416
2014-06-09,91.9084,102.51,91.652,102.424,2973.4660710654
2014-06-10,102.595,104.989,99.432,104.989,1345.08928555
2014-06-11,100.287,111.145,99.6886,101.655,2422.0964282756
2014-06-12,100.885,102.929,98.2352,100.287,567.276785645
2014-06-13,100.287,100.287,90.5404,92.4214,3237.3374996046
2014-06-16,94.4732,97.2946,93.4474,96.2688,1637.3830355143
2014-06-17,95.8412,96.0978,91.31,95.3282,1220.7562498509
2014-06-18,94.9008,97.4656,90.1984,97.0382,1789.3196426386
2014-06-19,96.7816,107.127,96.7816,105.502,4656.4651780027
2014-06-20,106.699,110.718,102.852,102.937,9815.4089273725
2014-06-23,104.134,104.134,93.1054,95.4138,3487.0562495741
2014-06-24,95.8498,98.731,95.7558,97.8932,3209.9678567508
