Date,Open,High,Low,Close,Volume
2005-02-25,6.82896,6.83166,6.75894,6.77389,12419.799302592
2005-02-28,6.59678,7.02907,6.59678,6.79151,24500.26531246
2005-03-01,6.68374,6.68374,6.68045,6.68045,1734.8163604299
2005-03-02,6.72975,6.73264,6.72975,6.73264,1390.4633444419
2005-03-03,6.921,6.921,6.63334,6.87459,13806.246868422
2005-03-04,6.72089,6.88296,6.6925,6.77646,8623.8845694983
2005-03-07,6.70993,6.77646,6.69788,6.69788,15635.434026236
2005-03-08,6.79429,6.79429,6.60793,6.6663,21640.026995987
2005-03-09,6.60793,6.62467,6.60793,6.60793,2243.8162995144
2005-03-10,6.63652,6.68045,6.63652,6.65087,3443.5301598812
2005-03-14,6.68045,6.72686,6.62467,6.66022,8623.8845694983
2005-03-15,6.52087,6.70993,6.52087,6.62188,20871.00539177
2005-03-16,6.57975,6.68045,6.52087,6.57685,17745.725686898
2005-03-17,6.55076,6.60793,6.55076,6.60793,4152.3150849179
2005-03-18,6.77099,6.77099,6.77099,6.77099,689.70997662926
2005-03-22,6.76771,6.76771,6.71859,6.71859,3712.5873268923
2005-03-23,6.52087,6.60793,6.52087,6.60793,3712.5873268923
2005-03-28,6.52087,6.52087,6.52087,6.52087,3787.8831758692
2005-03-31,6.44846,6.49309,6.44846,6.49309,1320.18721873
2005-04-01,6.73593,6.73593,6.73593,6.73593,1390.4633444419
2005-04-04,6.75595,6.76482,6.75595,6.76482,1035.0669372704
2005-04-05,6.82329,6.82329,6.4632,6.75894,9615.7818866885
2005-04-06,6.57975,6.57975,6.47546,6.47546,3622.2323081199
2005-04-08,6.44846,6.52087,6.44846,6.52087,14841.313805692
2005-04-12,6.46948,6.49309,6.4632,6.4632,7378.9931997453
2005-04-13,6.4632,6.5653,6.4632,6.5653,7612.9123039005
2005-04-15,6.4632,6.88296,6.4632,6.80924,20173.263857916
2005-04-18,6.80924,6.98236,6.52087,6.63652,98689.767281819
2005-04-20,6.61362,6.63334,6.51799,6.61062,13806.246868422
2005-04-22,6.73852,6.73852,6.44846,6.44846,8974.2612534045
2005-04-25,6.50983,6.50983,6.44269,6.44269,4486.6286543758
2005-04-26,6.4372,6.47805,6.4372,6.46948,2062.1023173165
2005-04-27,6.50693,6.59419,6.50693,6.52087,1734.8163604299
2005-04-29,6.37983,6.50693,6.37983,6.44846,3102.1889778521
2005-05-03,6.388,6.388,5.81984,6.01936,17949.526451462
2005-05-04,5.9561,5.96477,5.92752,5.92752,2062.1023173165
2005-05-05,5.9586,5.96477,5.92752,5.92752,2840.1594234121
2005-05-09,6.02813,6.0337,6.02813,6.0337,765.00582560625
2005-05-10,6.0568,6.17574,6.0568,6.17574,2062.1023173165
2005-05-11,6.37666,6.47546,6.36479,6.47546,17745.725686898
2005-05-13,6.47237,6.47237,6.47237,6.47237,335.31751411088
2005-05-18,6.37666,6.37666,6.37666,6.37666,689.70997662926
2005-05-24,6.27276,6.27276,6.14187,6.14187,2243.8162995144
2005-05-26,6.14735,6.14735,6.14735,6.14735,505.98810512539
2005-05-27,6.11567,6.13669,6.11567,6.13669,1123.4140667368
2005-06-02,6.14457,6.14457,6.11567,6.14457,18939.415879346
2005-06-03,6.11567,6.11567,6.08669,6.08669,5175.3346863521
2005-06-06,6.0568,6.0568,6.0568,6.0568,1390.4633444419
2005-06-07,6.0568,6.0568,6.0568,6.0568,335.31751411088
2005-06-08,6.0568,6.0568,6.0568,6.0568,1035.0669372704
2005-06-09,5.99943,5.99943,5.99943,5.99943,689.70997662926
2005-06-10,6.0568,6.08669,6.0568,6.08669,2328.1476503686
2005-06-14,6.04545,6.04545,5.94236,5.95371,17256.804640874
2005-06-15,6.17872,6.17872,6.17872,6.17872,335.31751411088
2005-06-21,5.87463,5.87463,5.86866,5.86866,689.70997662926
2005-06-23,5.93937,5.94236,5.93937,5.94236,10349.665428051
2005-06-27,5.86866,5.86866,5.83658,5.83658,3884.2618625598
2005-06-29,5.83409,5.83409,5.83409,5.83409,8623.8845694983
2005-06-30,5.6522,5.79663,5.26045,5.79663,30842.183685629
2005-07-01,5.63737,5.63737,5.27549,5.50648,4825.9619470987
2005-07-05,5.54403,5.57392,5.5266,5.5266,16576.130166122
