Date,Open,High,Low,Close,Volume
2023-11-06,6.75,7.4,5.31,5.6,1334548
2023-11-07,5.29,5.4,3.5705,3.8,356340
2023-11-08,3.57,3.7397,2.23,2.65,359993
2023-11-09,2.59,2.7578,2.26,2.26,158680
2023-11-10,2.36,3.73,1.86,2.97,4589226
2023-11-13,3.67,4.3,2.24,2.4,7843420
2023-11-14,2.28,2.35,1.94,2.14,1688804
2023-11-15,2.08,2.17,1.95,2.06,512570
2023-11-16,1.73,2.0,1.63,1.76,566281
2023-11-17,1.97,1.98,1.45,1.47,5452605
2023-11-20,1.4,1.58,1.33,1.5,1225863
2023-11-21,1.45,1.49,1.3601,1.4,433824
2023-11-22,1.4,1.4804,1.32,1.4394,376357
2023-11-24,1.4,1.54,1.39,1.45,276436
2023-11-27,1.42,1.5,1.31,1.38,346691
2023-11-28,1.39,1.49,1.33,1.47,360067
2023-11-29,1.44,1.812,1.42,1.65,2102527
2023-11-30,1.89,2.12,1.51,1.75,4607968
2023-12-01,1.68,1.76,1.53,1.67,1163200
2023-12-04,1.82,1.91,1.67,1.74,1616890
2023-12-05,1.73,1.8999,1.56,1.79,958595
2023-12-06,1.8,2.1,1.8,1.93,2037304
2023-12-07,2.03,2.22,1.82,1.94,2620432
2023-12-08,1.92,1.96,1.72,1.86,1162184
2023-12-11,1.73,1.77,1.54,1.59,811726
2023-12-12,1.57,1.64,1.41,1.47,692772
2023-12-13,1.51,1.53,1.15,1.26,848148
2023-12-14,1.28,1.5394,1.28,1.49,565930
2023-12-15,1.52,1.61,1.46,1.49,571025
2023-12-18,1.52,1.56,1.38,1.4,506780
2023-12-19,1.4,1.45,1.26,1.31,393494
2023-12-20,1.31,1.34,1.23,1.25,188955
2023-12-21,1.27,1.2936,1.15,1.2,316531
2023-12-22,1.23,1.35,1.22,1.24,389365
2023-12-26,1.27,1.29,1.2,1.28,358645
2023-12-27,1.32,1.338,1.23,1.32,515167
2023-12-28,1.33,1.54,1.2797,1.4,597151
2023-12-29,1.45,1.45,1.3101,1.35,266975
2024-01-02,1.46,1.5199,1.4,1.49,214933
2024-01-03,1.48,1.49,1.4,1.46,153586
2024-01-04,1.49,1.49,1.31,1.37,198378
2024-01-05,1.41,1.415,1.33,1.36,118541
2024-01-08,1.38,1.39,1.31,1.34,100391
2024-01-09,1.325,1.34,1.26,1.32,122889
2024-01-10,1.33,1.33,1.22,1.25,190106
2024-01-11,1.35,1.35,1.12,1.17,230271
2024-01-12,1.17,1.18,1.1,1.15,170075
2024-01-16,1.18,1.18,0.8401,0.94,599902
2024-01-17,0.95,0.95,0.87,0.9387,175017
2024-01-18,0.92,0.94,0.88,0.9186,163223
2024-01-19,0.915,1.03,0.9,0.9996,225738
2024-01-22,1.01,1.0165,0.901,0.9216,94700
2024-01-23,0.9304,0.966,0.871,0.885,130509
2024-01-24,0.885,0.9381,0.842,0.851,97141
2024-01-25,0.851,0.9167,0.7825,0.8026,134744
2024-01-26,0.7983,0.8229,0.74,0.755,139871
2024-01-29,0.799,0.8,0.765,0.785,59768
2024-01-30,0.81,0.84,0.78,0.78,66469
2024-01-31,0.7906,0.848999,0.742,0.7434,81516
2024-02-01,0.7793,0.8199,0.7065,0.768,61620
2024-02-02,0.7459,0.77,0.712,0.745,120056
2024-02-05,0.75,0.82,0.7453,0.7672,104764
2024-02-06,0.8053,0.89,0.803999,0.869,143543
2024-02-07,0.8745,0.8745,0.800001,0.84,54297
2024-02-08,0.85,0.85,0.82,0.847,63530
2024-02-09,0.85,1.09,0.85,1.08,272128
2024-02-12,1.24,1.39,0.9569,1.01,1527627
2024-02-13,0.9936,1.1499,0.94,1.13,262069
2024-02-14,1.2,1.24,1.09,1.14,233923
2024-02-15,1.14,1.1407,1.07,1.12,90216
2024-02-16,1.11,1.12,1.01,1.11,119478
2024-02-20,1.11,1.21,1.04,1.08,184079
2024-02-21,1.1,1.1299,1.01,1.07,62354
2024-02-22,1.04,1.1,1.012,1.05,59893
2024-02-23,1.06,1.0999,1.02,1.05,90823
2024-02-26,1.04,1.07,0.99,0.99,102807
2024-02-27,0.988,0.988,0.91,0.9149,118617
2024-02-28,0.9,0.98,0.9,0.937,28785
2024-02-29,0.97,1.03,0.92,0.95,77168
2024-03-01,0.9215,1.5965,0.9215,1.09,2824208
2024-03-04,1.0,1.09,0.94,1.06,305083
2024-03-05,1.06,1.07,0.97,1.015,104774
2024-03-06,0.9999,1.1,0.915,0.925,150058
2024-03-07,0.9404,1.02,0.9376,0.97,73749
2024-03-08,0.98,0.9999,0.9355,0.95,68423
2024-03-11,0.955,1.02,0.9225,0.9998,143574
2024-03-12,1.03,1.0325,0.9458,0.97,40055
2024-03-13,0.96,0.9825,0.9099,0.9125,92262
2024-03-14,0.94,0.97,0.9099,0.93,51567
2024-03-15,0.91,0.94,0.91,0.91,88904
2024-03-18,0.98,1.01,0.91,0.92,478459
2024-03-19,0.9975,0.9975,0.8,0.8412,352544
2024-03-20,0.84,0.85,0.7504,0.7853,213206
2024-03-21,0.7685,0.81,0.6924,0.722,305132
2024-03-22,0.7105,0.7964,0.6901,0.73,125857
2024-03-25,0.7181,0.729999,0.6611,0.69,126452
2024-03-26,0.718,0.73,0.68,0.701,49294
2024-03-27,0.6927,0.73,0.6001,0.678,150894
2024-03-28,0.6577,0.68,0.61,0.626,90314
2024-04-01,0.64,0.649,0.568,0.609,139169
2024-04-02,0.609,0.63,0.5601,0.608,72316
2024-04-03,0.61,0.6105,0.5111,0.585,116982
2024-04-04,0.571,0.579999,0.4823,0.540601,131665
2024-04-05,0.56,0.72,0.5408,0.6964,274765
2024-04-08,0.77,0.804351,0.53,0.5648,6915805
2024-04-09,0.56,0.6,0.53,0.54975,459825
2024-04-10,0.55,0.55,0.4799,0.5195,383274
