Date,Open,High,Low,Close,Volume
2024-10-04,22.0,22.0,21.01,21.2,345105
2024-10-07,21.11,21.15,20.75,20.75,76148
2024-10-08,21.7,21.7,20.75,20.79,23282
2024-10-09,20.85,20.9899,20.7,20.75,20072
2024-10-10,20.6971,20.8,20.61,20.65,44573
2024-10-11,20.1,20.75,20.1,20.65,32343
2024-10-14,20.96,20.96,20.71,20.72,4339
2024-10-15,20.91,21.15,20.71,21.15,15906
2024-10-16,21.3,21.5,21.0015,21.47,29515
2024-10-17,21.35,22.15,21.35,22.0,68673
2024-10-18,21.55,22.15,21.55,21.9,29725
2024-10-21,21.6,21.89,21.07,21.07,51643
2024-10-22,21.4428,21.4428,21.0,21.0,8913
2024-10-23,20.78,21.52,20.78,21.23,16071
2024-10-24,21.0,21.12,21.0,21.05,3859
2024-10-25,20.77,21.09,20.75,21.06,15649
2024-10-28,20.94,21.2,20.85,21.15,11709
2024-10-29,21.47,21.47,20.8501,21.08,44475
2024-10-30,21.2,22.8,21.2,22.19,128929
2024-10-31,22.38,22.38,21.75,22.3,14206
2024-11-01,22.23,22.23,21.8946,22.22,2539
2024-11-04,22.6,24.59,21.1,23.06,117515
2024-11-05,24.02,24.02,22.41,22.8,31646
2024-11-06,24.02,24.02,22.58,22.7,90684
2024-11-07,22.9,23.95,22.9,23.1,72044
2024-11-08,23.5,23.9,23.0,23.53,139350
2024-11-11,23.94,24.8901,23.6,24.78,50016
2024-11-12,24.73,25.0,24.25,24.7,24371
2024-11-13,24.38,24.75,23.39,23.93,33461
2024-11-14,23.91,23.93,23.0001,23.38,31271
2024-11-15,23.5,24.11,23.2,23.98,9585
2024-11-18,24.18,24.45,23.6801,24.02,28871
2024-11-19,23.715,24.2,23.71,24.2,10576
2024-11-20,24.0,24.0,23.61,23.9,16378
2024-11-21,24.2,24.4,23.92,24.2,15059
2024-11-22,24.06,24.5,23.88,24.5,22776
2024-11-25,24.51,24.57,23.5,24.0,25189
2024-11-26,23.99,24.8,23.9,24.19,40175
2024-11-27,24.19,24.38,24.0,24.2,16509
2024-11-29,24.4,24.4,24.4,24.4,490
2024-12-02,24.5,27.32,24.42,26.79,105034
2024-12-03,27.39,27.56,26.6001,26.98,52321
2024-12-04,27.01,27.01,26.18,26.67,20491
2024-12-05,26.66,27.0,26.282,26.99,16561
2024-12-06,26.43,26.9,25.51,25.99,34238
2024-12-09,26.1,26.5,26.05,26.21,15260
2024-12-10,26.24,26.66,26.05,26.66,12590
2024-12-11,25.5,27.4,25.5,27.04,20245
2024-12-12,27.0,27.2,26.0701,27.18,41763
2024-12-13,27.2,27.3501,26.77,26.96,17246
2024-12-16,26.7639,26.91,26.3245,26.52,35321
2024-12-17,26.5057,26.74,25.83,25.83,10660
2024-12-18,25.57,26.12,24.11,24.11,32411
2024-12-19,24.0,24.5,23.75,23.75,38054
2024-12-20,23.75,24.7,23.75,24.0,94455
2024-12-23,24.39,24.55,23.85,24.29,25439
2024-12-24,24.16,24.24,23.75,24.0,19933
2024-12-26,24.14,24.7,23.75,24.44,9734
2024-12-27,24.24,24.6,23.78,24.22,11490
2024-12-30,24.48,25.37,24.22,25.03,29104
2024-12-31,25.3913,25.44,24.75,25.07,13490
2025-01-02,25.19,25.24,24.73,24.73,7386
2025-01-03,25.0,25.25,24.54,24.75,47040
2025-01-06,24.98,24.992,23.965,24.08,28663
2025-01-07,24.25,24.37,23.6357,23.94,55244
2025-01-08,23.7501,23.92,23.5,23.75,26599
2025-01-10,23.75,24.13,23.6,24.0,14038
2025-01-13,23.75,23.99,23.52,23.91,8314
2025-01-14,23.93,24.05,23.75,23.8,8130
2025-01-15,24.05,24.6,23.8,24.1,15138
2025-01-16,24.115,24.6,24.0301,24.26,55707
2025-01-17,24.54,24.54,24.0,24.35,14999
2025-01-21,24.27,24.89,24.16,24.77,28445
2025-01-22,24.8,24.89,24.42,24.71,28678
2025-01-23,24.415,24.4818,24.2,24.42,6299
2025-01-24,24.41,24.62,24.2001,24.535,9770
2025-01-27,24.8032,24.83,24.39,24.41,15599
2025-01-28,24.0912,25.0,24.0,24.24,45840
2025-01-29,24.125,24.48,23.64,24.23,44618
2025-01-30,24.48,25.5,24.23,24.91,42787
2025-01-31,24.78,24.96,24.6,24.6,5038
2025-02-03,24.65,24.85,24.58,24.74,12967
2025-02-04,24.4667,24.8,24.11,24.5,46265
2025-02-05,24.39,24.82,24.32,24.56,42415
2025-02-06,24.58,24.79,24.28,24.7,42146
2025-02-07,24.415,24.96,24.415,24.87,109153
2025-02-10,24.81,25.23,24.485,24.93,29053
