Date,Open,High,Low,Close,Volume
2024-07-15,25.8002,25.8142,25.75,25.775,2765
2024-07-16,25.93,25.93,25.93,25.93,619
2024-07-17,25.95,25.97,25.95,25.955,1494
2024-07-18,25.9,25.9,25.6154,25.6154,2905
2024-07-19,25.405,25.405,25.3709,25.3709,1000
2024-07-22,25.44,25.44,25.3604,25.3604,248
2024-07-23,25.1208,25.1208,25.1208,25.1208,1
2024-07-24,25.14,25.14,24.9232,24.9232,2007
2024-07-25,25.05,25.09,25.0025,25.0828,102211
2024-07-26,25.279,25.279,25.279,25.279,150
2024-07-29,25.28,25.32,25.01,25.1711,11046
2024-07-30,25.1664,25.1664,25.1664,25.1664,1
2024-07-31,25.47,25.515,25.34,25.515,251476
2024-08-01,24.8684,24.8684,24.8684,24.8684,6
2024-08-02,24.2128,24.2128,24.2128,24.2128,11
2024-08-05,23.31,23.6,23.24,23.47,182191
2024-08-06,23.85,23.85,23.64,23.6958,5881
2024-08-07,23.7412,23.7412,23.7412,23.7412,5
2024-08-08,24.1456,24.1456,24.1456,24.1456,3
2024-08-09,24.1329,24.1329,24.1329,24.1329,3
2024-08-12,24.17,24.2562,24.15,24.2562,123712
2024-08-13,24.5241,24.5241,24.5241,24.5241,3
2024-08-14,24.4894,24.4894,24.4894,24.4894,3
2024-08-15,24.7463,24.7463,24.7463,24.7463,3273
2024-08-16,24.8802,24.8802,24.8802,24.8802,3212
2024-08-19,25.1326,25.1326,25.1326,25.1326,3212
2024-08-20,24.8619,24.8619,24.8619,24.8619,30
2024-08-21,25.0408,25.0408,25.0408,25.0408,4
2024-08-22,24.93,24.93,24.7657,24.7657,1970
2024-08-23,25.34,25.34,25.34,25.34,2
2024-08-26,25.4209,25.4209,25.4209,25.4209,11
2024-08-27,25.425,25.425,25.425,25.425,2
2024-08-28,25.1341,25.1341,25.1341,25.1341,5
2024-08-29,25.2895,25.2895,25.2895,25.2895,2
2024-08-30,25.1909,25.1909,25.1909,25.1909,4
2024-09-03,24.3571,24.3571,24.3571,24.3571,1
2024-09-04,24.27,24.27,24.215,24.215,122
2024-09-05,24.2006,24.2006,24.2006,24.2006,10
2024-09-06,23.735,23.735,23.735,23.735,1
2024-09-09,23.785,23.785,23.785,23.785,11
2024-09-10,23.559,23.559,23.559,23.559,129
2024-09-11,23.52,23.7802,23.52,23.7802,101
2024-09-12,24.08,24.1,24.0603,24.0603,5002
