Date,Open,High,Low,Close,Volume
2010-08-23,28.876,28.876,28.876,28.876,122
2010-08-24,28.541,28.541,28.541,28.541,122
2010-08-25,29.0,29.0,29.0,29.0,122
2010-08-26,29.123,29.833,29.123,29.833,839
2010-08-27,29.498,29.498,29.208,29.208,242
2010-08-30,28.876,28.876,28.876,28.876,122
2010-08-31,28.876,28.876,28.876,28.876,192
2010-09-01,29.623,29.623,29.623,29.623,122
2010-09-02,29.292,29.292,29.0,29.0,593
2010-09-03,29.208,29.208,29.208,29.208,122
2010-09-07,28.966,28.966,28.966,28.966,242
2010-09-08,28.722,28.722,28.714,28.714,242
2010-09-09,28.37,28.388,28.37,28.388,242
2010-09-10,28.208,28.208,28.208,28.208,122
2010-09-20,27.955,27.955,27.955,27.955,356
2010-10-05,29.038,29.038,28.79,28.79,958
2010-10-12,27.747,27.747,27.747,27.747,419
2010-10-19,27.747,27.747,27.747,27.747,122
2010-10-21,28.37,28.37,27.997,27.997,242
2010-10-25,27.747,28.749,27.747,28.749,300
2010-10-26,28.165,28.165,28.165,28.165,1319
2010-11-16,28.79,29.416,27.58,28.333,3152
2010-11-17,27.93,27.93,27.93,27.93,122
2010-11-18,28.456,28.456,28.456,28.456,122
2010-11-23,29.007,29.007,29.007,29.007,122
2010-11-24,28.37,28.37,28.37,28.37,122
2010-12-02,28.165,28.165,28.165,28.165,122
2010-12-10,28.165,28.165,28.165,28.165,122
2010-12-14,27.537,27.537,27.537,27.537,360
2010-12-17,28.155,28.155,28.155,28.155,242
2010-12-23,27.537,27.537,27.537,27.537,122
2010-12-28,27.537,27.537,27.537,27.537,481
2010-12-30,28.165,29.248,28.165,29.248,1438
2010-12-31,28.078,28.706,28.078,28.706,838
2011-01-07,29.373,29.373,29.373,29.373,242
2011-01-10,29.791,39.053,29.208,30.668,1908
2011-01-11,30.041,30.326,28.588,28.588,1438
2011-01-14,29.623,29.623,29.623,29.623,122
2011-01-21,29.358,29.416,27.963,28.731,719
2011-01-24,30.249,30.249,29.623,29.623,938
2011-01-26,29.623,29.623,29.623,29.623,481
2011-01-27,28.579,28.579,28.37,28.37,958
2011-01-31,29.416,29.416,28.79,28.79,264
2011-02-03,29.208,29.208,29.208,29.208,122
2011-02-08,30.041,30.668,30.041,30.041,360
2011-02-10,29.623,30.874,29.623,30.874,2877
2011-02-11,30.874,31.269,30.249,30.451,4950
2011-02-14,30.258,30.258,30.249,30.249,2100
2011-02-15,29.833,29.833,29.833,29.833,242
2011-02-16,30.86,31.71,29.208,29.208,11484
2011-02-25,29.208,30.041,29.208,30.041,481
2011-02-28,29.691,29.691,28.588,28.588,360
2011-03-07,27.963,28.37,27.963,28.37,242
2011-03-21,28.706,28.706,28.706,28.706,122
2011-03-24,28.165,28.165,28.165,28.165,122
2011-03-28,28.37,28.37,28.37,28.37,122
