Date,Open,High,Low,Close,Volume
2022-02-14,31.68,32.4,27.0,30.6,515892.99979364
2022-02-15,30.36,30.96,28.32,29.64,108950.33328975
2022-02-16,28.68,29.4,25.68,26.16,83466.749966613
2022-02-17,26.28,27.36,25.08,25.2,45006.416648664
2022-02-18,25.2,25.8,23.4,24.0,31397.833320774
2022-02-22,23.64,24.7188,23.4,23.64,14391.249994244
2022-02-23,23.64,23.88,19.8,19.92,28556.833321911
2022-02-24,20.16,23.154,19.68,22.8,26412.833322768
2022-02-25,23.52,23.8776,21.84,23.04,15399.083327174
2022-02-28,21.72,22.764,21.72,22.56,6510.4999973958
2022-03-01,22.2,24.0,22.2,22.68,10155.499995938
2022-03-02,22.08,23.1588,21.72,22.6752,7102.1666638258
2022-03-03,22.68,22.7292,21.0,21.12,19811.833325409
2022-03-04,20.64,20.8092,19.56,20.04,13297.083328015
2022-03-07,20.4,25.8,19.2012,22.92,52708.666645583
2022-03-08,22.44,23.4,21.24,23.04,19043.249992383
2022-03-09,23.4,25.68,22.44,24.6,18296.833326015
2022-03-10,23.88,34.68,22.92,26.4,1083694.2495665
2022-03-11,24.36,25.536,20.4048,21.72,103592.66662523
2022-03-14,21.72,29.64,21.0,25.68,652587.91640563
2022-03-15,25.68,27.48,22.8,27.48,111984.08328854
2022-03-16,26.76,26.76,23.76,24.84,58938.166643091
2022-03-17,23.88,27.0,23.88,26.4,50024.74997999
2022-03-18,26.4,28.92,24.96,28.08,50261.666646562
2022-03-21,27.0,32.4,26.16,29.76,110470.08328915
2022-03-22,28.8,30.96,27.96,29.04,47931.749980827
2022-03-23,28.08,30.6,27.48,29.76,30179.333321262
2022-03-24,30.48,35.16,29.64,33.36,160081.5832693
2022-03-25,34.92,36.0,30.12,32.16,81445.166634089
2022-03-28,32.04,32.88,30.1524,31.92,42598.916649627
2022-03-29,32.04,36.12,30.96,31.8,75324.583303204
2022-03-30,27.36,33.72,26.76,29.52,93549.333295914
2022-03-31,28.8,31.92,28.566,30.12,33109.08332009
2022-04-01,30.12,32.04,29.4,29.4,17062.583326508
2022-04-04,31.2,32.4,30.72,31.8,25242.333323236
2022-04-05,32.16,32.16,29.16,29.64,21287.583324818
2022-04-06,28.92,30.0,27.6,27.6,7758.33333023
2022-04-07,28.08,28.1988,25.704,27.24,16952.249993219
2022-04-08,27.24,29.28,26.28,28.08,14850.24999406
2022-04-11,27.96,28.8,26.28,27.72,20091.66665863
2022-04-12,29.76,29.76,26.88,27.24,10529.166662455
2022-04-13,26.82,29.16,26.76,26.76,21794.166657949
2022-04-14,26.76,27.4632,24.84,25.44,25284.916656553
2022-04-18,24.72,26.04,22.8,23.28,47879.833314181
2022-04-19,22.8,24.84,22.8,23.52,30068.499987973
2022-04-20,23.76,24.0,22.92,22.92,2365.2499990539
2022-04-21,22.8,24.0,20.4,21.0,14416.333327567
2022-04-22,20.4,21.4092,19.56,19.8,10984.999995606
2022-04-25,19.2,21.48,18.84,19.68,24048.416657047
2022-04-26,20.52,21.4788,19.56,20.04,19440.66665889
2022-04-27,20.28,20.64,19.32,20.04,15810.333327009
2022-04-28,20.16,21.0,19.6812,20.64,12115.249995154
2022-04-29,20.4,21.0,20.0412,20.4,6677.8333306622
2022-05-02,20.4,21.24,19.2,19.56,12118.666661819
2022-05-03,20.28,21.48,19.2,20.28,13796.833327815
2022-05-04,20.64,21.48,19.8,20.4,5484.0833311397
2022-05-05,20.46,20.856,19.32,19.68,6859.6666639228
2022-05-06,19.32,21.0,19.3116,20.28,5381.4999978474
2022-05-09,20.04,20.04,18.0,18.12,6442.5833307563
2022-05-10,18.48,18.6,15.96,16.08,39110.666651022
2022-05-11,15.6,16.0032,13.8,14.28,33518.083319926
2022-05-12,14.4,16.2,14.4,16.08,8336.9999966652
2022-05-13,15.12,16.8,15.0,15.48,24670.166656799
2022-05-16,15.72,17.3988,15.1212,16.44,94101.833295693
2022-05-17,17.28,17.28,14.52,15.72,140687.33327706
2022-05-18,15.12,16.44,13.32,14.4,46469.583314746
2022-05-19,14.76,14.8512,13.8,13.8,18361.833325989
2022-05-20,14.8584,14.8584,12.1212,12.48,26551.083322713
2022-05-23,12.0,12.84,11.4,12.78,30637.083321079
2022-05-24,12.36,12.4608,11.6352,12.0,7443.5833303559
2022-05-25,12.12,13.32,12.12,12.6,17392.499993043
2022-05-26,12.6,14.4,12.48,13.92,24708.749990117
2022-05-27,13.8,14.16,12.96,13.56,5811.8333310086
2022-05-31,13.8,15.0,13.2,14.88,24994.416656669
2022-06-01,15.12,15.24,14.04,14.4,14597.833327494
2022-06-02,15.24,15.24,13.56,13.68,15535.499993786
2022-06-03,14.52,14.52,12.96,13.2,2622.1666656178
2022-06-06,13.2,14.28,12.84,13.8,8056.9166634439
2022-06-07,13.44,13.92,13.2,13.74,4021.2499983915
2022-06-08,13.74,14.88,13.5888,14.28,13007.999994797
2022-06-09,13.92,14.16,13.08,13.44,9327.499996269
2022-06-10,13.2,14.52,12.96,14.4,3880.1666651146
2022-06-13,13.32,14.1372,12.0,13.2,34391.249986243
2022-06-14,13.44,14.0844,12.36,12.54,12368.499995053
2022-06-15,12.6,14.16,11.97,13.86,31087.749987565
