Date,Open,High,Low,Close,Volume
2024-12-05,51.91,52.109,50.43,50.56,75496
2024-12-06,50.88,51.83,50.88,51.5365,13755
2024-12-09,52.01,52.01,50.1,50.11,30898
2024-12-10,50.39,50.39,49.2363,49.36,27989
2024-12-11,49.89,50.57,49.7754,50.47,11377
2024-12-12,50.4978,50.78,50.0001,50.125,6453
2024-12-13,50.632,50.64,50.2201,50.4,10329
2024-12-16,50.83,52.0195,50.65,51.52,17639
2024-12-17,51.49,51.49,50.91,51.25,6640
2024-12-18,51.1289,51.41,48.08,48.44,11355
2024-12-19,49.13,49.13,47.431,47.45,17028
2024-12-20,47.01,48.36,47.0,48.25,11513
2024-12-23,48.17,48.17,47.4826,47.92,9376
2024-12-24,48.17,49.22,48.17,49.22,2274
2024-12-26,48.87,49.05,48.56,48.93,9085
2024-12-27,48.35,48.35,47.62,47.94,7238
2024-12-30,47.24,47.47,46.56,47.14,8986
2024-12-31,47.52,47.52,46.37,46.52,7112
2025-01-02,46.99,47.11,46.67,47.11,5597
2025-01-03,47.4966,49.14,47.47,49.14,5170
2025-01-06,49.7499,50.195,49.7499,50.15,6840
2025-01-07,50.0,50.0,49.03,49.03,4950
2025-01-08,48.9,48.9,48.1,48.79,3313
2025-01-10,48.06,48.36,47.71,48.25,5784
2025-01-13,47.12,47.9,46.8487,47.9,11952
2025-01-14,48.73,49.07,48.2685,48.53,4414
2025-01-15,49.65,49.96,49.61,49.96,7056
2025-01-16,50.1744,50.2399,49.8,50.1,18159
2025-01-17,50.77,51.23,50.77,50.91,5144
2025-01-21,51.28,51.28,50.5,50.8,11166
2025-01-22,51.1293,51.4,50.95,51.4,8441
2025-01-23,51.09,51.7757,51.09,51.6,7506
2025-01-24,51.84,52.16,51.4929,51.7493,10152
2025-01-27,50.14,50.14,47.79,48.4506,26933
2025-01-28,47.33,47.33,46.5,47.2,47363
2025-01-29,47.28,47.42,46.8,47.3001,28442
2025-01-30,47.98,48.71,47.98,48.433,39185
2025-01-31,48.81,49.14,48.12,48.2276,37742
2025-02-03,46.72,48.2537,46.39,48.1075,31616
2025-02-04,48.04,48.52,48.04,48.2869,22208
2025-02-05,48.48,48.63,48.2,48.44,19676
2025-02-06,48.71,49.98,48.051,48.52,16648
2025-02-07,49.48,49.48,48.47,48.5678,10496
2025-02-10,48.92,49.26,48.7505,49.095,27867
