Date,Open,High,Low,Close,Volume
2025-01-07,10.04,10.06,10.04,10.05,8408300
2025-01-08,10.06,10.07,10.05,10.05,466204
2025-01-10,10.06,10.07,10.04,10.05,189492
2025-01-13,10.05,10.059,10.04,10.05,119531
2025-01-14,10.05,10.0691,10.04,10.06,13992
2025-01-15,10.05,10.05,10.05,10.05,841
2025-01-16,10.05,10.05,10.05,10.05,2880
2025-01-17,10.06,10.07,10.05,10.07,5223
2025-01-21,10.05,10.07,10.05,10.07,1153
2025-01-22,10.06,10.07,10.06,10.07,5621
2025-01-23,10.07,10.07,10.07,10.07,299070
2025-01-27,10.06,10.07,10.06,10.06,111447
2025-01-28,10.072,10.072,10.06,10.06,816
2025-01-30,10.05,10.065,10.05,10.05,9167
2025-01-31,10.05,10.05,10.05,10.05,3663
2025-02-03,10.08,10.08,10.06,10.06,10017
2025-02-04,10.06,10.07,10.06,10.06,5425
2025-02-05,10.07,10.1002,10.07,10.09,361100
2025-02-06,10.09,10.1,10.07,10.1,142947
2025-02-07,10.09,10.11,10.09,10.11,173521
2025-02-10,10.12,10.1399,10.11,10.12,358431
