Date,Open,High,Low,Close,Volume
2023-03-27,10.1,10.11,10.0901,10.1,278615
2023-03-28,10.1,10.1,10.1,10.1,524717
2023-03-29,10.12,10.12,10.09,10.1,1795184
2023-03-30,10.12,10.12,10.11,10.11,108178
2023-03-31,10.11,10.11,10.11,10.11,12506
2023-04-03,10.11,10.12,10.11,10.12,96198
2023-04-06,10.11,10.11,10.11,10.11,6600
2023-04-10,10.13,10.13,10.13,10.13,1499
2023-04-11,10.13,10.69,10.11,10.12,57605
2023-04-12,10.14,10.14,10.14,10.14,111
2023-04-13,10.14,10.3995,10.13,10.1303,35509
2023-04-17,10.14,10.14,10.14,10.14,32891
2023-04-18,10.14,10.14,10.13,10.13,2300
2023-04-19,10.13,10.13,10.13,10.13,100
2023-04-20,10.13,10.14,10.13,10.14,129104
2023-04-24,10.15,10.175,10.14,10.15,38463
2023-04-26,10.2,10.2,10.15,10.15,400
2023-05-01,10.1501,10.18,10.1501,10.18,3856
2023-05-02,10.17,10.1799,10.15,10.15,46700
2023-05-03,10.16,10.16,10.15,10.16,2203
2023-05-04,10.16,10.17,10.16,10.17,105362
2023-05-09,10.17,10.17,10.17,10.17,92508
2023-05-10,10.17,10.17,10.17,10.17,1295
2023-05-11,10.17,10.17,10.17,10.17,8077
2023-05-12,10.17,10.1847,10.17,10.18,21855
2023-05-15,10.18,10.18,10.18,10.18,6205
2023-05-17,10.185,10.2137,10.185,10.1901,38250
2023-05-18,10.265,10.32,10.2209,10.2209,350
2023-05-19,10.19,10.19,10.19,10.19,1773
2023-05-22,10.2101,10.2101,10.2101,10.2101,152
2023-05-23,10.27,10.27,10.27,10.27,251
2023-05-24,10.32,10.32,10.22,10.22,100100
2023-05-25,10.225,10.225,10.225,10.225,151
2023-05-31,10.19,10.19,10.19,10.19,250
2023-06-01,10.21,10.22,10.21,10.2147,1300
2023-06-02,10.21,10.22,10.21,10.22,1180
2023-06-07,10.23,10.23,10.23,10.23,100903
2023-06-12,10.24,10.24,10.24,10.24,712
2023-06-21,10.27,10.27,10.26,10.2601,366
2023-07-05,10.2737,10.2737,10.26,10.26,338
2023-07-14,10.2944,10.2944,10.2944,10.2944,102
2023-07-20,10.27,10.27,10.27,10.27,187
2023-07-21,10.27,10.27,10.27,10.27,1002
2023-07-27,10.28,10.28,10.28,10.28,400
2023-07-28,10.28,10.2895,10.28,10.28,4100
2023-07-31,10.3,10.3,10.29,10.3,7909
2023-08-02,10.3064,10.3064,10.3,10.3,1173
2023-08-03,10.32,10.32,10.32,10.32,100
2023-08-04,10.32,10.32,10.305,10.31,229114
2023-08-07,10.33,10.35,10.33,10.33,51319
2023-08-08,10.33,10.4,10.33,10.4,8131
2023-08-10,10.35,10.35,10.3498,10.35,1215
2023-08-11,10.345,10.345,10.33,10.33,9687
2023-08-14,10.35,10.35,10.34,10.35,32273
2023-08-15,10.35,10.35,10.35,10.35,4024
2023-08-17,10.36,10.36,10.35,10.35,2608
2023-08-23,10.37,10.37,10.37,10.37,27820
2023-08-24,10.375,10.395,10.375,10.395,97469
2023-08-25,10.41,10.41,10.4,10.4,501
2023-08-30,10.41,10.41,10.41,10.41,217
2023-09-01,10.41,10.41,10.41,10.41,14900
2023-09-06,10.41,10.41,10.41,10.41,50202
2023-09-07,10.42,10.42,10.415,10.42,28711
2023-09-08,10.42,10.42,10.42,10.42,25010
2023-09-11,10.43,10.43,10.42,10.42,2600
2023-09-12,10.43,10.43,10.43,10.43,5000
2023-09-13,10.43,10.43,10.43,10.43,1012
2023-09-14,10.435,10.45,10.43,10.43,101900
2023-09-19,10.43,10.44,10.43,10.44,5668
2023-09-20,10.44,10.44,10.44,10.44,4342
2023-09-21,10.44,10.44,10.43,10.43,4119
2023-09-22,10.43,10.43,10.43,10.43,4449
2023-09-25,10.43,10.43,10.42,10.42,6922
2023-09-26,10.43,10.435,10.43,10.435,3811
2023-09-27,10.44,10.44,10.44,10.44,37207
2023-09-28,10.45,10.45,10.4499,10.4499,5995
2023-09-29,10.45,10.46,10.44,10.46,15323
2023-10-02,10.44,10.45,10.44,10.45,6974
2023-10-03,10.45,10.45,10.45,10.45,3278
2023-10-04,10.45,10.45,10.44,10.44,3098
2023-10-05,10.44,10.44,10.44,10.44,6999
2023-10-06,10.44,10.44,10.44,10.44,2705
2023-10-09,10.44,10.45,10.44,10.45,5794
2023-10-10,10.445,10.45,10.44,10.45,6874
2023-10-11,10.445,10.45,10.44,10.45,12566
2023-10-12,10.45,10.45,10.45,10.45,2403
2023-10-13,10.45,10.45,10.45,10.45,2321
2023-10-16,10.44,10.44,10.44,10.44,2051
2023-10-17,10.445,10.45,10.44,10.44,3001
2023-10-18,10.44,10.44,10.44,10.44,2862
2023-10-19,10.44,10.47,10.44,10.46,31857
2023-10-20,10.45,10.45,10.44,10.44,2309
2023-10-23,10.46,10.46,10.46,10.46,2135
2023-10-24,10.45,10.45,10.445,10.45,9271
2023-10-25,10.45,10.45,10.45,10.45,2006
2023-10-26,10.45,10.47,10.45,10.47,2456
2023-10-27,10.45,10.47,10.45,10.47,3028
2023-10-30,10.45,10.45,10.45,10.45,1630
2023-10-31,10.48,10.5,10.48,10.5,12319
2023-11-01,10.49,10.49,10.49,10.49,133689
2023-11-02,10.49,10.505,10.49,10.505,5893
2023-11-03,10.49,10.52,10.47,10.48,29055
2023-11-06,10.52,10.54,10.52,10.53,31945
2023-11-07,10.52,10.54,10.52,10.54,238674
2023-11-08,10.54,10.5402,10.53,10.54,24719
2023-11-09,10.54,10.54,10.53,10.54,15195
2023-11-10,10.53,10.54,10.53,10.54,3725
2023-11-13,10.55,10.57,10.55,10.57,103300
2023-11-14,10.55,10.55,10.55,10.55,227049
2023-11-15,10.55,10.55,10.55,10.55,130340
2023-11-16,10.54,10.54,10.54,10.54,5002
2023-11-22,10.55,10.55,10.55,10.55,500
2023-11-29,10.55,10.56,10.55,10.55,362995
2023-11-30,10.55,10.55,10.55,10.55,110
2023-12-01,10.55,10.55,10.55,10.55,5156
2023-12-04,10.55,10.55,10.55,10.55,56491
2023-12-05,10.54,10.54,10.54,10.54,42195
2023-12-06,10.54,10.54,10.54,10.54,1001
2023-12-07,10.54,10.54,10.54,10.54,106201
2023-12-08,10.54,10.55,10.53,10.53,2144
2023-12-11,10.54,10.54,10.53,10.54,8837
2023-12-12,10.54,10.54,10.5,10.51,41040
2023-12-14,10.51,10.51,10.49,10.49,131059
2023-12-15,10.5,10.5,10.5,10.5,24498
2023-12-18,10.51,10.5101,10.505,10.505,14036
2023-12-27,10.57,10.57,10.5,10.51,11454
2023-12-28,10.51,10.51,10.51,10.51,2155
2023-12-29,10.56,10.56,10.5,10.5,105233
2024-01-05,10.52,10.52,10.52,10.52,1105
2024-01-08,10.51,10.51,10.46,10.505,1350082
2024-01-09,10.51,10.51,10.5,10.51,512
2024-01-10,10.5,10.51,10.49,10.5099,116161
