Date,Open,High,Low,Close,Volume
2019-08-15,14.5,15.5,14.25,14.6,1017440
2019-08-16,14.61,14.85,14.28,14.65,317315
2019-08-19,14.66,14.81,14.5,14.69,270648
2019-08-20,14.63,14.6999,14.51,14.56,191383
2019-08-21,14.56,14.76,14.4,14.5,222404
2019-08-22,14.52,14.75,14.5,14.63,55226
2019-08-23,14.46,14.7,14.25,14.34,128655
2019-08-26,14.5,14.6266,14.5,14.5,93379
2019-08-27,14.45,14.55,14.26,14.55,131265
2019-08-28,14.5,14.68,14.25,14.62,104279
2019-08-29,14.57,14.62,14.36,14.5,108157
2019-08-30,14.58,14.58,14.25,14.55,106277
2019-09-03,14.47,14.58,14.35,14.53,135903
2019-09-04,14.55,14.65,14.3501,14.56,100753
2019-09-05,14.68,14.68,14.0,14.6,105584
2019-09-06,14.6,14.6,14.05,14.5,53168
2019-09-09,14.4027,14.58,14.34,14.52,149754
2019-09-10,14.55,14.58,14.37,14.51,90700
2019-09-11,14.51,14.59,14.02,14.59,73838
2019-09-12,14.59,14.64,14.4906,14.5,180774
2019-09-13,14.5,14.59,14.5,14.56,74456
2019-09-16,14.56,14.59,14.12,14.36,116361
2019-09-17,14.3,14.36,13.89,14.05,73846
2019-09-18,13.99,14.37,13.99,14.18,188210
2019-09-19,14.19,14.37,12.83,14.32,157980
2019-09-20,14.3,14.475,14.2,14.27,1004156
2019-09-23,14.24,14.45,13.855,14.12,127014
2019-09-24,14.16,14.3401,13.95,14.05,78662
2019-09-25,13.94,14.13,13.41,14.06,89028
2019-09-26,14.0,14.05,13.93,14.02,86140
2019-09-27,13.89,13.96,11.11,13.85,221551
2019-09-30,13.85,14.33,13.46,14.305,108398
2019-10-01,14.22,14.4,13.9348,14.06,85785
2019-10-02,14.0,14.09,13.6206,13.84,119914
2019-10-03,13.84,13.96,12.95,13.36,117210
2019-10-04,13.4,13.45,13.1129,13.41,47064
2019-10-07,13.35,13.42,13.15,13.36,44817
2019-10-08,13.3,13.32,13.03,13.05,36093
2019-10-09,13.07,13.07,12.66,12.7,43595
2019-10-10,12.7,12.8,12.695,12.74,57942
2019-10-11,12.74,13.0,12.74,12.85,97333
2019-10-14,12.85,12.9,12.7,12.84,79994
2019-10-15,12.84,13.09,12.77,12.89,135469
2019-10-16,12.87,12.89,12.3,12.53,29643
2019-10-17,12.56,12.56,12.27,12.34,28311
2019-10-18,12.24,12.4752,12.2,12.38,56161
2019-10-21,12.43,12.74,12.43,12.58,80673
2019-10-22,13.49,13.49,12.9,12.96,87916
2019-10-23,12.94,13.07,12.44,12.56,60356
2019-10-24,12.58,12.69,12.5,12.6,61917
2019-10-25,12.63,12.71,12.4,12.47,61148
2019-10-28,12.45,12.7,12.17,12.68,86202
2019-10-29,12.67,13.0,12.1,12.98,150875
2019-10-30,13.0,13.24,12.613,13.15,138193
