Date,Open,High,Low,Close,Volume
2022-02-14,9.88,9.88,9.88,9.88,5401
2022-02-18,10.0,10.0,10.0,10.0,1416
2022-02-22,9.95,9.95,9.95,9.95,5021
2022-02-23,9.95,9.95,9.9,9.95,1801
2022-02-24,9.86,9.86,9.86,9.86,14900
2022-02-28,9.9,9.95,9.85,9.9,5769
2022-03-01,9.85,9.85,9.85,9.85,2000
2022-03-03,9.86,9.87,9.85,9.87,35425
2022-03-09,9.875,9.89,9.85,9.89,7621
2022-03-10,9.89,9.89,9.89,9.89,502
2022-03-11,9.89,9.89,9.88,9.89,3439
2022-03-16,9.88,9.93,9.83,9.93,14603
2022-03-21,9.87,9.87,9.87,9.87,2000
2022-03-22,9.86,9.86,9.86,9.86,106
2022-03-28,9.93,9.93,9.93,9.93,3994
2022-04-01,9.94,9.94,9.94,9.94,99001
2022-04-05,9.91,9.91,9.91,9.91,5798
2022-04-06,9.93,9.98,9.91,9.98,12100
2022-04-08,9.93,9.98,9.93,9.98,10042
2022-04-11,9.98,9.98,9.98,9.98,500
2022-04-13,9.9,9.9,9.9,9.9,500
2022-04-14,9.91,9.94,9.91,9.94,4092
2022-04-18,9.89,9.92,9.89,9.92,4173
2022-04-19,9.95,9.95,9.91,9.91,321
2022-04-20,9.98,9.98,9.92,9.92,16149
2022-04-22,9.92,9.92,9.92,9.92,844778
2022-04-26,9.92,9.96,9.91,9.94,120921
2022-04-27,9.93,9.98,9.93,9.93,6500
2022-04-28,9.92,9.97,9.91,9.97,75600
2022-04-29,9.97,9.97,9.93,9.93,2571
2022-05-02,9.93,9.95,9.93,9.95,8595
2022-05-03,9.95,9.99,9.93,9.99,18900
2022-05-04,9.99,9.99,9.99,9.99,613
2022-05-05,9.93,9.98,9.93,9.95,25935
2022-05-06,9.95,9.95,9.95,9.95,305
2022-05-09,9.95,9.95,9.92,9.92,49078
2022-05-10,9.92,9.92,9.91,9.91,25264
2022-05-24,9.89,9.905,9.86,9.905,51138
2022-05-25,9.88,9.88,9.88,9.88,100001
2022-05-26,9.94,9.94,9.91,9.91,1201
2022-05-31,9.89,9.95,9.89,9.95,35953
2022-06-01,9.92,9.92,9.87,9.92,35306
2022-06-02,9.9,9.9,9.9,9.9,362
2022-06-03,9.9,9.9,9.9,9.9,852
2022-06-07,9.9,9.9,9.9,9.9,456100
2022-06-09,9.97,9.97,9.97,9.97,100
2022-06-10,9.97,9.97,9.97,9.97,809
2022-06-13,9.9,9.93,9.9,9.93,26559
2022-06-21,9.9,9.9,9.9,9.9,20421
2022-06-22,9.87,9.9,9.87,9.9,112111
2022-06-28,9.98,9.98,9.98,9.98,1060
2022-06-30,9.95,10.0,9.92,10.0,7656
2022-07-06,9.9,9.9,9.9,9.9,72524
2022-07-14,9.92,9.95,9.92,9.92,11390
2022-07-15,9.92,9.96,9.92,9.92,6610
2022-07-19,9.92,9.95,9.92,9.95,2830
2022-07-20,9.95,9.95,9.92,9.92,805
