Date,Open,High,Low,Close,Volume
2024-07-01,25.06,25.06,25.04,25.04,600774
2024-07-02,24.95,25.07,24.95,25.07,901
2024-07-03,25.31,25.31,25.3048,25.3048,228
2024-07-05,25.415,25.5,25.41,25.5,1038
2024-07-08,25.57,25.57,25.4501,25.4576,1947
2024-07-09,25.35,25.35,25.34,25.3467,680
2024-07-10,25.5289,25.644,25.5289,25.644,3369
2024-07-11,25.8,25.8,25.69,25.6935,451
2024-07-12,25.8,25.94,25.8,25.8991,5657
2024-07-15,25.7201,25.74,25.6381,25.6381,2046
2024-07-16,25.59,25.725,25.59,25.725,25761
2024-07-17,25.44,25.48,25.35,25.4,8840
2024-07-18,25.46,25.46,25.08,25.1448,1870
2024-07-19,25.08,25.08,25.0052,25.0052,2265
2024-07-22,25.18,25.2537,25.18,25.2537,1973
2024-07-23,25.108,25.14,25.0924,25.0924,1986
2024-07-24,24.84,24.87,24.6807,24.6807,17883
2024-07-25,24.65,24.66,24.5252,24.5252,1549
2024-07-26,24.7,24.8209,24.7,24.7893,358024
2024-07-29,24.77,24.77,24.67,24.6907,10945
2024-07-30,24.75,24.75,24.62,24.6756,3272
2024-07-31,25.07,25.18,25.02,25.1002,5595
2024-08-01,24.86,24.86,24.5078,24.5078,1720
2024-08-02,24.13,24.15,23.9481,24.0919,14060
2024-08-05,23.23,23.7999,23.23,23.6386,28635
2024-08-06,23.52,23.84,23.52,23.7586,5214
2024-08-07,24.17,24.17,23.7909,23.7909,7913
2024-08-08,24.16,24.27,24.16,24.2518,1185
2024-08-09,24.29,24.409,24.29,24.4049,10693
2024-08-12,24.38,24.46,24.37,24.38,19267
2024-08-13,24.51,24.7652,24.51,24.7652,8255
2024-08-14,24.77,24.78,24.71,24.7756,17562
2024-08-15,24.98,25.38,24.98,25.0406,88632
2024-08-16,25.08,25.184,25.08,25.184,6682
2024-08-19,25.305,25.4395,25.305,25.435,3954
2024-08-20,25.3,25.3227,25.26,25.2976,19057
2024-08-21,25.335,25.46,25.335,25.4273,4280
2024-08-22,25.41,25.41,25.2225,25.2294,6949
2024-08-23,25.45,25.69,25.45,25.6799,16481
2024-08-26,25.62,25.66,25.55,25.5702,19251
2024-08-27,25.6,25.6704,25.58,25.6704,10444
2024-08-28,25.61,25.61,25.45,25.5395,6133
2024-08-29,25.61,25.74,25.61,25.63,25692
2024-08-30,25.7009,25.78,25.59,25.7188,12362
2024-09-03,25.52,25.52,25.17,25.2,6954
2024-09-04,25.04,25.269,25.001,25.15,24580
2024-09-05,25.2,25.24,25.13,25.1692,5087
2024-09-06,25.01,25.01,24.75,24.7577,2586
2024-09-09,24.87,25.0,24.87,24.9264,16643
2024-09-10,24.88,24.88,24.745,24.8611,4619
2024-09-11,24.69,25.12,24.67,25.11,6495
2024-09-12,25.1,25.255,25.09,25.255,6957
2024-09-13,25.39,25.42,25.33,25.3696,17199
2024-09-16,25.41,25.48,25.36,25.4777,17765
2024-09-17,25.42,25.45,25.2301,25.31,40554
2024-09-18,25.33,25.5597,25.2099,25.2435,53491
2024-09-19,25.67,25.8,25.52,25.7499,62027
2024-09-20,25.5899,25.5899,25.4899,25.5279,40103
2024-09-23,25.56,25.61,25.56,25.607,31366
2024-09-24,25.85,26.04,25.8299,25.97,60895
2024-09-25,25.91,25.94,25.7901,25.8005,51035
2024-09-26,26.36,26.47,26.3,26.4597,49022
2024-09-27,26.45,26.4599,26.3017,26.3279,10733
2024-09-30,26.12,26.12,25.9399,26.0084,6151
2024-10-01,26.02,26.02,25.7741,25.9357,20513
2024-10-02,26.01,26.08,25.9101,26.0778,51870
2024-10-03,25.75,25.87,25.73,25.7869,347548
2024-10-04,25.92,26.07,25.92,26.0663,60254
2024-10-07,26.1199,26.14,25.9813,26.0699,23040
2024-10-08,25.81,25.835,25.75,25.835,35705
2024-10-09,25.66,25.85,25.66,25.8308,39764
2024-10-10,25.71,25.8,25.67,25.7954,13685
2024-10-11,25.83,25.96,25.83,25.9382,9900
2024-10-14,25.88,26.07,25.88,26.0249,13613
2024-10-15,25.8,25.81,25.48,25.4956,38980
2024-10-16,25.62,25.63,25.6039,25.6039,9021
2024-10-17,25.71,25.77,25.6555,25.6555,10787
2024-10-18,25.87,25.87,25.7897,25.8308,5140
2024-10-21,25.72,25.72,25.57,25.615,9522
2024-10-22,25.53,25.64,25.53,25.6245,48060
2024-10-23,25.52,25.53,25.33,25.4454,49759
2024-10-24,25.51,25.62,25.3457,25.4339,135362
2024-10-25,25.552,25.57,25.3899,25.3907,2930
2024-10-28,25.45,25.58,25.45,25.54,38028
2024-10-29,25.41,25.51,25.36,25.36,99241
2024-10-30,25.14,25.32,25.14,25.235,3855
2024-10-31,25.09,25.09,24.94,25.0426,6881
2024-11-01,25.24,25.2799,25.14,25.14,5762
2024-11-04,25.265,25.3,25.1382,25.1382,4325
2024-11-05,25.27,25.39,25.27,25.38,9149
2024-11-06,25.03,25.09,24.8852,25.09,14971
2024-11-07,25.44,25.5404,25.43,25.5145,44980
2024-11-08,25.25,25.25,25.0137,25.1047,13109
2024-11-11,25.05,25.0599,24.9712,25.01,16076
2024-11-12,24.72,24.72,24.46,24.5816,40075
2024-11-13,24.48,24.48,24.32,24.3884,17583
2024-11-14,24.48,24.91,24.3996,24.3996,14335
2024-11-15,24.4,24.44,24.31,24.3746,27473
2024-11-18,24.43,24.58,24.42,24.54,21515
2024-11-19,24.4587,24.59,24.32,24.5651,389426
2024-11-20,24.44,24.5254,24.39,24.5244,40123
2024-11-21,24.43,24.59,24.43,24.5686,26060
2024-11-22,24.57,24.6177,24.53,24.5835,7867
2024-11-25,24.71,24.71,24.55,24.6102,39917
2024-11-26,24.54,24.6,24.41,24.4776,10111
2024-11-27,24.52,24.75,24.48,24.5353,32428
2024-11-29,24.57,24.74,24.55,24.74,11426
2024-12-02,24.74,24.845,24.7181,24.8203,8640
2024-12-03,24.88,24.94,24.84,24.92,21698
2024-12-04,24.94,25.03,24.9,24.94,11685
2024-12-05,25.09,25.15,25.06,25.13,38075
2024-12-06,25.13,25.14,25.08,25.12,18543
2024-12-09,25.33,25.33,25.174,25.174,38920
2024-12-10,25.06,25.11,24.907,24.907,13630
2024-12-11,24.9717,25.015,24.9,25.015,31844
2024-12-12,24.94,24.99,24.8253,24.8253,14324
2024-12-13,24.98,24.98,24.87,24.9279,7650
2024-12-16,24.89,24.92,24.84,24.85,19277
2024-12-17,24.71,24.8108,24.71,24.77,15606
2024-12-18,24.84,24.84,24.14,24.22,22214
2024-12-19,24.31,24.64,24.1599,24.17,32666
2024-12-20,23.955,24.31,23.88,24.18,41201
2024-12-23,24.1597,24.33,24.11,24.32,14686
2024-12-24,24.3099,24.36,24.306,24.36,43735
2024-12-26,24.16,24.7,24.16,24.33,53352
2024-12-27,24.24,24.77,24.17,24.2302,23401
2024-12-30,24.0,24.11,23.97,24.0674,18708
2024-12-31,24.11,24.16,23.9709,24.0456,45115
2025-01-02,24.148,24.17,23.9382,24.0102,53172
2025-01-03,24.08,24.1484,24.03,24.13,25981
2025-01-06,24.46,24.53,24.38,24.3893,16375
2025-01-07,24.53,24.53,24.28,24.325,50886
2025-01-08,24.14,24.2699,24.12,24.2608,14024
2025-01-10,24.11,24.11,23.86,23.903,15975
2025-01-13,23.67,23.7922,23.67,23.7922,10713
2025-01-14,23.89,23.98,23.8258,23.955,25130
2025-01-15,24.23,24.27,24.165,24.24,21377
2025-01-16,24.37,24.45,24.3204,24.38,19720
2025-01-17,24.48,24.6,24.47,24.48,15752
2025-01-21,24.74,24.9396,24.74,24.9,37661
2025-01-22,24.97,24.98,24.89,24.906,225881
2025-01-23,24.92,25.052,24.9,25.05,24185
2025-01-24,25.24,25.24,25.17,25.17,26610
2025-01-27,24.98,25.06,24.87,24.95,12555
2025-01-28,24.9,25.02,24.83,25.0,8808
2025-01-29,25.0,25.06,24.96,24.98,18578
2025-01-30,25.1778,25.37,25.1778,25.28,10419
2025-01-31,25.21,25.5,25.05,25.07,27138
2025-02-03,24.65,24.96,24.65,24.84,67585
2025-02-04,25.03,25.18,25.01,25.14,36839
2025-02-05,25.18,25.31,25.1499,25.28,25577
2025-02-06,25.39,25.45,25.3699,25.43,24365
2025-02-07,25.54,25.54,25.25,25.285,8906
2025-02-10,25.38,25.43,25.37,25.43,7929
