Date,Open,High,Low,Close,Volume
2025-01-21,26.2898,26.57,26.24,26.57,161419
2025-01-22,26.42,26.52,26.34,26.37,195885
2025-01-23,26.3152,26.4854,26.23,26.46,64265
2025-01-24,26.46,26.545,26.42,26.4839,61311
2025-01-27,26.27,26.41,26.15,26.3021,114155
2025-01-28,26.33,26.38,26.2,26.33,43642
2025-01-29,26.36,26.38,26.11,26.19,155548
2025-01-30,26.4982,26.605,26.33,26.47,858745
2025-01-31,26.51,26.66,26.21,26.2479,111048
2025-02-03,25.7,26.07,25.59,25.9775,134399
2025-02-04,26.0,26.13,26.0,26.08,45641
2025-02-05,26.16,26.46,26.06,26.3033,78970
2025-02-06,26.49,26.49,26.19,26.37,81065
2025-02-07,26.37,26.42,26.15,26.1792,129465
2025-02-10,26.26,26.26,26.045,26.17,52382
