Date,Open,High,Low,Close,Volume
2024-07-31,10.05,10.05,10.05,10.05,185
2024-08-05,10.0,10.0,10.0,10.0,500
2024-08-06,9.99,9.99,9.99,9.99,100000
2024-08-07,10.0,10.0,10.0,10.0,35437
2024-08-08,10.0,10.0,9.99,9.995,177476
2024-08-09,9.995,9.995,9.97,9.97,210263
2024-08-12,9.97,9.98,9.97,9.98,25320
2024-08-13,9.97,9.97,9.97,9.97,283
2024-08-14,9.98,9.98,9.98,9.98,6053
2024-08-16,10.0,10.0,10.0,10.0,278664
2024-08-19,9.97,9.995,9.97,9.99,96269
2024-08-20,9.98,10.0,9.98,9.995,376497
2024-08-21,10.01,10.01,9.98,9.98,96433
2024-08-22,10.01,10.01,9.99,9.99,42021
2024-08-23,10.05,10.05,9.99,9.99,81474
2024-08-26,10.01,10.01,9.97,9.97,47780
2024-08-27,9.99,9.99,9.98,9.98,292916
2024-08-28,9.97,9.985,9.97,9.985,26835
2024-08-29,10.0,10.0,9.98,9.985,94751
2024-09-03,9.99,9.99,9.99,9.99,1200
2024-09-04,9.99,9.99,9.98,9.98,279
2024-09-05,9.99,10.0,9.99,10.0,42100
2024-09-06,9.99,10.0,9.99,9.99,160252
2024-09-09,10.0,10.005,10.0,10.005,26082
2024-09-10,10.0,10.01,10.0,10.0,233991
2024-09-11,10.0,10.01,9.99,10.0,134730
2024-09-12,10.005,10.01,9.9998,10.005,490339
2024-09-13,10.0,10.005,9.99,9.99,284695
2024-09-16,10.0,10.0,10.0,10.0,53050
2024-09-17,10.005,10.01,10.005,10.01,4953
2024-09-19,10.01,10.01,10.005,10.01,16585
2024-09-20,9.99,10.0,9.99,10.0,348
2024-09-23,10.059,10.059,10.0,10.005,18297
2024-09-24,10.01,10.015,10.01,10.015,743
2024-09-25,10.0108,10.03,10.01,10.015,25792
2024-09-26,10.01,10.015,10.01,10.015,846
2024-09-27,10.015,10.03,10.01,10.02,18714
2024-09-30,10.02,10.025,10.02,10.02,3683
2024-10-01,10.02,10.02,10.02,10.02,2650
2024-10-02,10.02,10.02,10.02,10.02,3147
2024-10-03,10.02,10.03,10.02,10.02,36009
2024-10-04,10.02,10.02,10.02,10.02,10312
2024-10-07,10.025,10.025,10.02,10.02,2100
2024-10-08,10.025,10.03,10.02,10.02,43881
2024-10-09,10.02,10.03,10.02,10.02,146561
2024-10-10,10.02,10.03,10.02,10.03,7356
2024-10-11,10.028,10.028,10.02,10.02,2910
2024-10-15,10.021,10.021,10.02,10.02,812
2024-10-17,10.03,10.03,10.03,10.03,400
2024-10-23,10.027,10.027,10.02,10.02,1406
2024-10-29,10.02,10.1,10.02,10.1,4846
2024-10-30,10.02,10.05,10.02,10.05,6649
2024-10-31,10.035,10.035,10.035,10.035,111
2024-11-01,10.03,10.03,10.03,10.03,18590
2024-11-12,10.02,10.02,10.02,10.02,451
2024-11-14,10.06,10.06,10.06,10.06,4444
2024-11-18,10.04,10.04,10.0399,10.04,860
2024-11-21,10.04,10.04,10.04,10.04,291372
2024-11-22,10.05,10.05,10.04,10.04,116322
2024-11-26,10.045,10.045,10.045,10.045,88840
2024-11-27,10.045,10.0525,10.045,10.05,7707
2024-11-29,10.06,10.06,10.04,10.05,8185
2024-12-02,10.06,10.06,10.05,10.05,49518
2024-12-03,10.05,10.055,10.05,10.05,72961
2024-12-06,10.055,10.07,10.055,10.07,930716
2024-12-09,10.06,10.07,10.06,10.07,1150
2024-12-11,10.06,10.1,10.05,10.1,49158
2024-12-12,10.05,10.07,10.05,10.06,44724
2024-12-13,10.07,10.07,10.07,10.07,22505
2024-12-16,10.06,10.06,10.06,10.06,21004
2024-12-17,10.05,10.0619,10.05,10.0619,43450
2024-12-18,10.05,10.06,10.05,10.06,34088
2024-12-19,10.06,10.06,10.06,10.06,18041
2024-12-20,10.06,10.08,10.06,10.06,19065
2024-12-23,10.06,10.07,10.05,10.06,118093
2024-12-24,10.06,10.06,10.06,10.06,9344
2024-12-26,10.1,10.1,10.1,10.1,600
2024-12-27,10.1,10.135,10.1,10.11,109052
2024-12-30,10.12,10.12,10.12,10.12,50276
2024-12-31,10.12,10.125,10.12,10.12,122719
2025-01-02,10.12,10.12,10.12,10.12,4080
2025-01-06,10.12,10.12,10.11,10.11,351
2025-01-15,10.12,10.12,10.12,10.12,35000
2025-01-16,10.12,10.125,10.12,10.12,1882
2025-01-22,10.11,10.12,10.11,10.12,1216
2025-01-24,10.12,10.12,10.12,10.12,817
2025-01-28,10.13,10.135,10.13,10.13,2557
2025-01-29,10.13,10.13,10.13,10.13,1031
2025-01-30,10.16,10.16,10.14,10.14,452
2025-02-03,10.14,10.1565,10.13,10.1565,6312
2025-02-05,10.15,10.1501,10.13,10.13,51511
2025-02-06,10.13,10.13,10.13,10.13,679
2025-02-07,10.13,10.13,10.13,10.13,776
2025-02-10,10.13,10.13,10.13,10.13,1393
