Date,Open,High,Low,Close,Volume
2024-10-16,25.5,25.7,25.491,25.65,62032
2024-10-17,25.56,26.03,25.53,25.8,51393
2024-10-18,25.84,25.84,25.67,25.72,27864
2024-10-21,25.71,25.77,25.6001,25.74,35608
2024-10-22,25.75,25.75,25.59,25.7,35203
2024-10-23,25.68,25.68,25.54,25.65,20040
2024-10-24,25.68,25.68,25.545,25.64,17674
2024-10-25,25.66,25.78,25.6501,25.715,38278
2024-10-28,25.7,25.95,25.68,25.83,320039
2024-10-29,25.78,25.83,25.49,25.75,37166
2024-10-30,25.75,25.8,25.62,25.68,32071
2024-10-31,25.7,25.7,25.5,25.65,732051
2024-11-01,25.6,25.6,25.45,25.5,16622
2024-11-04,25.5,25.6,25.48,25.52,6978
2024-11-05,25.5,25.5912,25.46,25.55,17906
2024-11-06,25.47,25.47,25.355,25.355,4812
2024-11-07,25.4,25.455,25.33,25.33,19297
2024-11-08,25.42,25.5,25.42,25.45,7639
2024-11-11,25.44,25.44,25.32,25.4,6109
2024-11-12,25.4,25.4,25.26,25.36,19724
2024-11-13,25.38,25.39,25.35,25.35,8204
2024-11-14,25.3286,25.37,25.28,25.37,1332
2024-11-15,25.37,25.4,25.29,25.35,39314
2024-11-18,25.35,25.79,25.3,25.3,18801
2024-11-19,25.31,25.4,25.2348,25.24,22091
2024-11-20,25.33,25.3499,25.1952,25.24,12828
2024-11-21,25.31,25.31,25.23,25.2739,15511
2024-11-22,25.26,25.31,25.18,25.31,23034
2024-11-25,25.325,25.35,25.27,25.29,11522
2024-11-26,25.22,25.32,25.22,25.31,9485
2024-11-27,25.23,25.325,25.23,25.3,3811
2024-11-29,25.32,25.39,25.32,25.39,7521
2024-12-02,25.27,25.4,25.27,25.35,4868
2024-12-03,25.4,25.41,25.32,25.37,21102
2024-12-04,25.37,25.38,25.33,25.365,13544
2024-12-05,25.38,25.4,25.33,25.38,4129
2024-12-06,25.4,25.41,25.3999,25.4,13180
2024-12-09,25.38,25.44,25.31,25.33,16179
2024-12-10,25.38,25.42,25.34,25.41,15691
2024-12-11,25.42,25.44,25.35,25.36,20682
2024-12-12,25.42,25.49,25.36,25.49,16777
2024-12-13,25.07,25.13,24.93,25.03,32874
2024-12-16,25.0,25.05,24.97,25.04,15646
2024-12-17,24.965,25.02,24.91,25.02,8052
2024-12-18,25.0,25.1,24.84,24.84,16655
2024-12-19,24.84,24.94,24.81,24.91,5481
2024-12-20,24.9,24.99,24.9,24.99,1331
2024-12-23,24.96,24.96,24.82,24.93,8790
2024-12-24,24.92,24.99,24.9,24.99,5008
2024-12-26,25.138,25.138,25.0,25.0,1029
2024-12-27,25.09,25.09,24.86,24.86,6485
2024-12-30,25.05,25.14,24.9,24.95,4507
2024-12-31,24.9501,25.23,24.95,25.23,47253
2025-01-02,25.0841,25.26,25.02,25.22,7198
2025-01-03,25.2,25.2,25.08,25.15,4911
2025-01-06,25.25,25.29,24.92,25.08,17270
2025-01-07,25.05,25.13,24.89,24.97,17599
2025-01-08,25.0,25.13,24.71,24.9,35458
2025-01-10,24.75,24.8999,24.7,24.82,13043
2025-01-13,24.8999,24.91,24.73,24.73,5236
2025-01-14,24.87,25.0,24.73,24.9999,7251
2025-01-15,24.99,25.06,24.8,24.93,20953
2025-01-16,24.9,25.0,24.76,24.91,11467
2025-01-17,24.88,24.8999,24.79,24.87,9715
2025-01-21,24.81,25.06,24.81,25.06,16007
2025-01-22,25.04,25.0799,24.94,25.0,5212
2025-01-23,24.95,25.0399,24.82,24.96,10947
2025-01-24,24.945,25.0299,24.9,25.02,2183
2025-01-27,25.02,25.04,24.96,24.995,4062
2025-01-28,24.91,25.04,24.9,25.04,11199
2025-01-29,25.0,25.16,25.0,25.15,7930
2025-01-30,25.1,25.14,25.0,25.1,5587
2025-01-31,25.05,25.1071,24.81,25.05,68366
2025-02-03,25.04,25.13,25.02,25.1,2541
2025-02-04,25.12,25.1999,25.03,25.04,33819
2025-02-05,25.1,25.18,25.05,25.12,222705
2025-02-06,25.15,25.19,25.11,25.15,205746
2025-02-07,25.14,25.1716,25.14,25.16,7230
2025-02-10,25.14,25.21,25.14,25.195,14748
