Date,Open,High,Low,Close,Volume
2024-05-31,24.65,24.95,24.64,24.8484,82484
2024-06-03,24.97,24.97,24.82,24.82,50536
2024-06-04,24.85,24.95,24.85,24.93,64282
2024-06-05,24.99,24.99,24.9,24.93,62342
2024-06-06,24.95,25.68,24.91,25.3,158252
2024-06-07,25.2,25.2,25.12,25.1947,7920
2024-06-10,25.175,25.25,25.1501,25.2499,14750
2024-06-11,25.26,25.3,25.11,25.24,17639
2024-06-12,25.33,25.33,25.22,25.29,4271
2024-06-13,25.4,25.4,25.2,25.275,8065
2024-06-14,25.3,25.4,25.2,25.2,6734
2024-06-17,25.38,25.38,25.07,25.08,18400
2024-06-18,25.11,25.1586,25.07,25.1,10794
2024-06-20,25.19,25.3,25.07,25.135,6825
2024-06-21,25.11,25.23,25.08,25.1,6985
2024-06-24,25.15,25.15,25.07,25.08,15488
2024-06-25,25.09,25.1999,25.0562,25.07,21537
2024-06-26,25.18,25.1999,25.08,25.08,6694
2024-06-27,25.17,25.24,25.17,25.18,14680
2024-06-28,25.11,25.18,25.08,25.08,13289
2024-07-01,25.15,25.15,25.04,25.05,23212
2024-07-02,25.1,25.125,25.0,25.0899,21272
2024-07-03,25.09,25.28,25.09,25.15,10090
2024-07-05,25.28,25.28,25.14,25.15,28016
2024-07-08,25.16,25.18,25.08,25.17,16027
2024-07-09,25.275,25.275,25.12,25.12,11007
2024-07-10,25.18,25.23,25.15,25.17,7198
2024-07-11,25.23,25.29,25.19,25.19,16140
2024-07-12,25.23,25.38,25.18,25.2,22507
2024-07-15,25.25,25.44,25.25,25.3,13568
2024-07-16,25.4,25.4,25.26,25.26,11564
2024-07-17,25.3,25.37,25.27,25.27,16602
2024-07-18,25.3,25.35,25.28,25.3,10173
2024-07-19,25.3,25.39,25.28,25.28,10512
2024-07-22,25.31,25.39,25.29,25.29,12695
2024-07-23,25.34,25.39,25.3,25.3,11927
2024-07-24,25.38,25.44,25.26,25.26,12268
2024-07-25,25.3,25.5,25.3,25.4,10694
2024-07-26,25.55,25.55,25.4,25.41,5564
2024-07-29,25.461,25.55,25.31,25.32,17347
2024-07-30,25.38,25.48,25.3,25.35,9441
2024-07-31,25.43,25.5,25.37,25.49,19955
2024-08-01,25.11,25.13,24.99,25.07,33914
2024-08-02,25.09,25.09,25.0,25.03,17342
2024-08-05,24.94,24.99,24.64,24.98,22898
2024-08-06,25.02,25.09,24.69,25.06,27387
2024-08-07,25.2,25.2,25.0001,25.1,16324
2024-08-08,25.12,25.168,25.1,25.1299,7881
2024-08-09,25.12,25.12,25.08,25.12,5124
2024-08-12,25.21,25.21,24.81,24.86,30215
2024-08-13,24.86,25.0,24.84,24.98,20802
2024-08-14,25.0,25.0,24.9,24.95,18760
2024-08-15,25.0,25.0,24.9,24.94,22877
2024-08-16,24.95,25.1,24.94,25.1,27282
2024-08-19,25.1,25.14,25.02,25.14,17767
2024-08-20,25.05,25.14,25.04,25.05,9645
2024-08-21,25.05,25.14,25.05,25.1,6111
2024-08-22,25.1,25.19,25.04,25.05,15003
2024-08-23,25.06,25.19,25.0501,25.1499,8215
2024-08-26,25.11,25.25,25.11,25.215,11911
2024-08-27,25.25,25.25,25.0291,25.1,40465
2024-08-28,25.14,25.24,25.03,25.03,21569
2024-08-29,25.03,25.15,24.93,25.08,49430
2024-08-30,25.12,25.17,25.05,25.13,13329
2024-09-03,25.15,25.17,25.095,25.12,13694
2024-09-04,25.18,25.2,25.1,25.16,2633
2024-09-05,25.23,25.23,25.04,25.2299,11691
2024-09-06,25.2,25.2,25.1,25.1,5465
2024-09-09,25.27,25.45,25.14,25.32,45893
2024-09-10,25.35,25.43,25.22,25.4,21691
2024-09-11,25.44,25.48,25.25,25.48,43187
2024-09-12,25.39,25.51,25.26,25.42,22334
2024-09-13,25.2,25.77,25.2,25.72,14979
2024-09-16,25.68,25.74,25.67,25.68,12496
2024-09-17,25.73,25.73,25.51,25.61,15529
2024-09-18,25.6,25.73,25.55,25.55,3360
2024-09-19,25.72,25.75,25.6,25.7,6063
2024-09-20,25.7,25.74,25.6,25.71,13355
2024-09-23,25.63,25.8,25.63,25.66,6280
2024-09-24,25.74,25.8,25.51,25.55,30351
2024-09-25,25.69,25.7,25.55,25.64,8147
2024-09-26,25.65,25.73,25.65,25.72,11342
2024-09-27,25.7,25.85,25.5,25.65,17908
2024-09-30,25.72,25.72,25.62,25.67,2922
2024-10-01,25.68,25.84,25.68,25.72,4305
2024-10-02,25.72,25.72,25.7,25.7,1653
2024-10-03,25.8,25.8,25.55,25.6,7715
2024-10-04,25.7,25.7,25.54,25.6101,9655
2024-10-07,25.6999,25.6999,25.6,25.6,1173
2024-10-08,25.66,25.66,25.58,25.6034,3729
2024-10-09,25.605,25.65,25.52,25.64,5859
2024-10-10,25.63,25.63,25.4,25.42,60423
2024-10-11,25.42,25.5799,25.385,25.54,47424
2024-10-14,25.54,25.54,25.47,25.52,5269
2024-10-15,25.58,25.59,25.39,25.42,18416
2024-10-16,25.52,25.54,25.45,25.54,15341
2024-10-17,25.57,25.58,25.52,25.58,7463
2024-10-18,25.58,25.62,25.567,25.62,3637
2024-10-21,25.64,25.6501,25.56,25.56,12949
2024-10-22,25.62,25.7,25.62,25.68,4681
2024-10-23,25.68,25.6801,25.54,25.55,6549
2024-10-24,25.55,25.6025,25.5386,25.5386,4935
2024-10-25,25.69,25.69,25.6,25.65,4208
2024-10-28,25.65,25.73,25.625,25.73,8752
2024-10-29,25.74,25.74,25.6,25.6499,5399
2024-10-30,25.65,25.67,25.57,25.6699,3219
2024-10-31,25.66,25.74,25.5601,25.74,1925
2024-11-01,25.26,25.26,25.15,25.1699,9515
2024-11-04,25.2,25.31,25.2,25.249,6394
2024-11-05,25.23,25.25,25.17,25.24,1833
2024-11-06,25.25,25.25,25.15,25.15,5964
2024-11-07,25.16,25.25,25.16,25.23,3525
2024-11-08,25.4,25.4,25.27,25.2701,8249
2024-11-11,25.27,25.3,25.2,25.23,9589
2024-11-12,25.27,25.35,25.2301,25.2999,2275
2024-11-13,25.39,25.435,25.15,25.15,8114
2024-11-14,25.25,25.48,25.16,25.4399,4145
2024-11-15,25.28,25.33,25.16,25.17,9951
2024-11-18,25.2107,25.28,25.08,25.17,14873
2024-11-19,25.22,25.22,24.95,24.9999,40666
2024-11-20,25.0,25.16,24.95,25.015,32433
2024-11-21,25.025,25.05,24.95,25.0142,37017
2024-11-22,25.05,25.1592,25.0,25.1,13123
2024-11-25,25.15,25.23,25.03,25.07,7396
2024-11-26,25.08,25.08,25.0,25.011,8318
2024-11-27,25.05,25.1,25.0,25.0355,12033
2024-11-29,25.12,25.12,25.0299,25.05,3617
2024-12-02,25.1446,25.15,25.01,25.1,17727
2024-12-03,25.08,25.1365,25.02,25.1,12174
2024-12-04,25.135,25.21,25.09,25.09,24580
2024-12-05,25.13,25.17,25.1,25.1,9287
2024-12-06,25.15,25.1599,25.12,25.13,4472
2024-12-09,25.17,25.21,25.06,25.14,12818
2024-12-10,25.19,25.22,25.17,25.1835,10897
2024-12-11,25.17,25.25,25.17,25.25,2502
2024-12-12,25.19,25.25,25.14,25.14,5976
2024-12-13,25.25,25.25,25.08,25.1357,14958
