Date,Open,High,Low,Close,Volume
2023-06-15,2250.0,2447.5,972.5,1327.5,205.78
2023-06-16,1150.0,1372.5,1062.5,1361.78,124.856
2023-06-20,1375.0,1855.0,1375.0,1425.0,145.2
2023-06-21,1275.0,1387.5,1193.75,1195.0,27.352
2023-06-22,877.5,1300.0,700.0,925.0,3638.0
2023-06-23,952.5,1145.0,615.0,657.5,6778.8
2023-06-26,547.5,605.0,430.0,462.5,5384.888
2023-06-27,372.5,465.0,345.625,422.5,5743.792
2023-06-28,390.0,410.0,322.5,332.5,5563.908
2023-06-29,312.5,360.0,288.8,310.0,4509.624
2023-06-30,317.5,322.5,267.5,277.5,24790.824
2023-07-03,248.5,310.0,247.5,280.0,3489.552
2023-07-05,292.5,305.0,285.0,290.0,3612.072
2023-07-06,287.5,295.0,275.0,280.0,1703.88
2023-07-07,282.5,307.5,272.5,290.0,3418.928
2023-07-10,290.0,305.0,267.5,282.5,2459.76
2023-07-11,275.0,290.0,262.5,280.0,3982.692
2023-07-12,310.0,360.0,270.0,275.0,18332.26
2023-07-13,280.0,285.0,242.5,250.0,6367.032
2023-07-14,265.0,265.0,243.75,248.25,3423.416
2023-07-17,275.0,277.5,246.175,250.0,7889.32
2023-07-18,247.325,250.0,212.5,217.975,5370.184
2023-07-19,214.0,217.5,192.5,206.0,4298.408
2023-07-20,209.5,215.0,200.25,202.5,2175.256
2023-07-21,207.125,209.1,188.425,188.425,2583.08
2023-07-24,190.0,190.0,170.325,173.15,2302.26
2023-07-25,167.5,172.25,157.825,165.0,2103.636
2023-07-26,170.05,192.5,155.3,164.75,6958.788
2023-07-27,160.525,167.475,145.125,148.65,3258.572
2023-07-28,154.75,154.75,137.5,151.65,3047.152
2023-07-31,175.575,178.55,160.0,167.45,4396.584
2023-08-01,161.0,171.425,157.6,161.75,2676.012
2023-08-02,161.775,162.225,152.75,162.0,1362.76
2023-08-03,158.5,161.25,151.65,156.575,1383.764
2023-08-04,157.5,159.8,150.0,150.5,1151.052
2023-08-07,147.5,158.438,145.05,150.3,1351.724
2023-08-08,147.75,154.675,140.825,153.5,1513.244
2023-08-09,156.25,157.475,146.525,150.5,1039.62
2023-08-10,155.25,157.25,147.0,149.75,962.764
2023-08-11,150.3,154.925,146.25,154.9,1621.46
2023-08-14,156.25,156.25,150.3,150.85,847.18
2023-08-15,150.25,153.341,144.375,146.875,668.076
2023-08-16,142.5,144.9,117.525,122.475,2959.792
2023-08-17,123.75,123.75,118.225,120.75,924.648
2023-08-18,118.0,120.0,112.65,113.75,1410.232
2023-08-21,115.5,115.525,110.9,112.125,699.688
2023-08-22,114.75,114.975,102.75,105.0,712.004
2023-08-23,106.65,122.075,100.95,117.4,1612.648
2023-08-24,117.0,117.75,103.75,108.375,918.256
2023-08-25,113.25,119.525,110.0,110.0,839.424
2023-08-28,110.2,117.0,106.0,113.45,994.388
2023-08-29,115.0,125.225,107.75,110.65,1205.42
2023-08-30,110.625,114.75,107.775,108.775,379.156
2023-08-31,107.75,116.25,100.4,107.45,886.288
2023-09-01,137.5,174.7,110.025,114.0,16188.612
2023-09-05,115.25,117.5,103.75,107.5,1244.356
2023-09-06,105.5,111.25,102.575,103.675,774.228
2023-09-07,102.9,107.475,100.75,101.6,636.636
2023-09-08,102.25,106.25,96.25,96.575,1459.2
2023-09-11,100.0,100.0,93.85,93.9,592.344
2023-09-12,99.3,99.3,92.5,92.7497,712.212
2023-09-13,92.5,95.25,90.55,94.75,474.064
2023-09-14,95.0,97.918,94.45,96.75,395.032
2023-09-15,96.5,100.0,95.0,99.5,391.684
2023-09-18,104.85,104.85,95.0,96.525,420.088
2023-09-19,100.5,100.5,92.5,94.3947,377.452
2023-09-20,94.7,103.75,90.825,97.5252,978.732
2023-09-21,102.5,107.5,97.125,106.0,1147.476
2023-09-22,99.5,108.0,99.5,104.0,292.32
2023-09-25,107.825,119.5,101.25,119.5,1720.412
2023-09-26,117.0,122.475,110.5,111.25,1270.692
2023-09-27,107.5,119.25,107.5,111.95,718.98
2023-09-28,112.5,114.975,111.25,111.3,246.212
2023-09-29,112.45,118.05,109.025,114.75,997.4
2023-10-02,114.25,121.225,110.0,112.525,1066.132
2023-10-03,115.0,116.062,107.5,108.725,907.956
2023-10-04,108.825,114.975,106.25,108.75,526.096
2023-10-05,103.0,108.575,103.0,104.375,272.0
2023-10-06,107.5,107.5,92.525,97.225,632.236
2023-10-09,100.2,100.2,92.775,98.15,536.052
2023-10-10,98.125,106.25,97.0748,100.05,294.852
2023-10-11,95.25,115.675,95.25,115.675,1841.288
2023-10-12,110.0,114.95,102.788,106.4,1035.932
2023-10-13,129.025,159.6,103.9,108.35,22947.06
2023-10-16,108.35,112.5,93.75,98.75,3253.468
2023-10-17,100.0,106.275,97.525,102.75,1321.192
2023-10-18,102.5,104.975,97.775,102.625,918.78
2023-10-19,101.25,105.972,95.275,105.0,471.964
2023-10-20,95.0,102.45,95.0,102.2,610.628
2023-10-23,99.225,103.625,94.875,99.9,247.312
2023-10-24,97.25,102.925,95.275,97.0252,183.004
2023-10-25,97.5,99.35,95.275,97.15,293.42
2023-10-26,99.7,99.725,94.975,97.7,395.3
2023-10-27,95.0,97.7,93.8,94.825,2505.528
2023-10-30,100.0,105.375,96.5,105.375,1022.692
