Date,Open,High,Low,Close,Volume
2023-06-05,167.4,250.8,166.5,177.0,960588.39903941
2023-06-06,152.1,158.097,124.2,126.0,62818.799937181
2023-06-07,165.0,175.479,151.2,160.8,319964.0663467
2023-06-08,142.5,164.7,140.7,148.5,37524.566629142
2023-06-09,147.6,150.123,129.0,136.5,20642.566646024
2023-06-12,130.2,133.2,114.0,118.8,25992.999974007
2023-06-13,111.6,113.76,105.0,108.0,35548.066631119
2023-06-14,108.0,117.0,105.9,108.3,25370.266641296
2023-06-15,109.5,111.3,96.9,101.4,22189.033311144
2023-06-16,99.9,99.9,80.7,85.2,30943.23330239
2023-06-20,95.7,96.0,81.12,81.3,12463.73332087
2023-06-21,80.1,93.0,72.603,86.7,28285.799971714
2023-06-22,88.5,100.179,82.8,95.7,21977.06664469
2023-06-23,92.7,102.591,84.3,99.0,21323.33331201
2023-06-26,99.0,104.7,93.3,100.8,11145.666655521
2023-06-27,100.8,106.5,94.53,96.6,18675.799981324
2023-06-28,95.7,101.097,78.0,84.9,19378.199980622
2023-06-29,83.4,85.2,75.0,83.1,15028.533318305
2023-06-30,86.4,87.6,79.8,80.4,15888.533317445
2023-07-03,80.7,82.8,74.7,75.9,15518.033317815
2023-07-05,75.9,78.6,70.8,73.8,11598.466655068
2023-07-06,73.8,74.097,69.6,69.9,6247.6333270857
2023-07-07,69.6,74.1,69.0,70.8,3983.7999960162
2023-07-10,71.1,75.0,68.1,74.4,11184.099988816
2023-07-11,75.0,80.7,73.2,76.5,10213.666656453
2023-07-12,77.7,106.5,76.5,104.7,40988.933292344
2023-07-13,104.7,111.3,94.2,94.2,14155.266652511
2023-07-14,97.8,155.4,97.8,127.5,359852.06630681
2023-07-17,124.2,125.4,94.8,101.1,24924.266641742
2023-07-18,101.4,102.3,90.0,98.1,9687.4333236459
2023-07-19,97.2,102.0,95.4,97.2,9827.2666568394
2023-07-20,95.7,100.2,95.7,99.9,3318.9666633477
