Date,Open,High,Low,Close,Volume
2024-01-12,10.1,10.1,10.08,10.08,355
2024-01-16,10.075,10.075,10.06,10.06,12509
2024-01-17,10.1,10.1,10.05,10.0661,255330
2024-01-18,9.16,10.07,9.16,10.06,335271
2024-01-19,10.05,10.07,10.05,10.06,160850
2024-01-22,10.07,10.11,10.06,10.1,222424
2024-01-23,10.09,10.12,10.08,10.11,175104
2024-01-24,10.1095,10.12,10.1095,10.11,442993
2024-01-25,10.13,10.15,10.11,10.125,291406
2024-01-26,10.12,10.15,10.12,10.14,18674
2024-01-29,10.14,10.15,10.135,10.1387,120423
2024-01-30,10.13,10.14,10.13,10.13,258673
2024-01-31,10.14,10.1482,10.13,10.14,32536
2024-02-01,10.13,10.14,10.13,10.14,3867
2024-02-02,10.13,10.135,10.13,10.13,30668
2024-02-05,10.13,10.14,10.13,10.13,56897
2024-02-06,10.135,10.14,10.13,10.132,12542
2024-02-07,10.13,10.14,10.13,10.13,5665
2024-02-08,10.1398,10.14,10.13,10.13,405711
2024-02-09,10.13,10.14,10.13,10.13,10080
2024-02-12,10.14,10.15,10.13,10.15,130709
2024-02-13,10.14,10.145,10.13,10.14,98897
2024-02-14,10.09,10.15,10.09,10.15,6120
2024-02-15,10.14,10.16,10.14,10.16,105203
2024-02-16,10.15,10.16,10.145,10.16,81512
2024-02-20,10.16,10.17,10.16,10.17,31004
2024-02-21,10.17,10.1781,10.17,10.175,18033
2024-02-22,10.18,10.2,10.18,10.2,12873
2024-02-23,10.2,10.2,10.1945,10.2,122404
2024-02-26,10.24,10.24,10.2,10.21,6739
2024-02-27,10.48,10.48,10.2,10.24,69913
2024-02-28,10.4,10.4,10.19,10.22,27829
2024-02-29,10.21,10.3,10.19,10.19,22555
2024-03-01,10.2,10.23,10.2,10.23,2215
2024-03-04,10.3,10.3,10.2,10.25,102079
2024-03-06,10.27,10.29,10.24,10.28,32042
2024-03-07,10.27,10.27,10.2355,10.2355,2200
2024-03-08,10.29,10.29,10.21,10.29,3933
2024-03-11,10.44,10.44,10.29,10.29,653
2024-03-12,10.22,10.25,10.22,10.25,22630
2024-03-13,10.25,10.25,10.25,10.25,16576
2024-03-14,10.44,10.44,10.44,10.44,141
2024-03-15,10.24,10.2878,10.24,10.2878,311
2024-03-18,10.34,10.35,10.2201,10.25,6010
2024-03-19,10.37,10.37,10.37,10.37,157
2024-03-20,10.26,10.38,10.26,10.2999,1252
2024-03-21,10.25,10.25,10.25,10.25,13030
2024-03-25,10.2511,10.3,10.25,10.25,2070
2024-03-26,10.251,10.3,10.235,10.27,56035
2024-03-27,10.29,10.29,10.27,10.285,8454
2024-03-28,10.29,10.29,10.27,10.27,1057
2024-04-01,10.3,10.3,10.27,10.295,8580
2024-04-02,10.3,10.3033,10.27,10.29,5134
2024-04-03,10.309,10.31,10.3,10.31,12350
2024-04-04,10.31,10.38,10.29,10.38,53099
2024-04-05,10.3,10.3167,10.3,10.3167,1799
2024-04-08,10.29,10.3796,10.29,10.37,6375
2024-04-09,10.33,10.35,10.31,10.33,150376
2024-04-10,10.34,10.349,10.335,10.34,13363
2024-04-11,10.36,10.36,10.36,10.36,923
2024-04-12,10.38,10.38,10.34,10.34,7915
2024-04-15,10.33,10.33,10.33,10.33,883
2024-04-16,10.355,10.355,10.33,10.34,2740
2024-04-17,10.35,10.35,10.33,10.33,763
2024-04-18,10.34,10.34,10.34,10.34,1305
2024-04-19,10.33,10.34,10.33,10.33,6589
2024-04-22,10.331,10.331,10.33,10.3301,9562
2024-04-23,10.33,10.33,10.33,10.33,739
2024-04-24,10.38,10.38,10.33,10.33,8452
2024-04-25,10.33,10.36,10.33,10.36,6948
2024-04-26,10.379,10.38,10.35,10.37,317037
2024-04-29,10.37,10.37,10.36,10.36,17680
2024-04-30,10.375,10.3799,10.33,10.35,584714
2024-05-01,10.35,10.3533,10.33,10.34,16557
2024-05-02,10.33,10.37,10.33,10.35,5377
2024-05-03,10.35,10.35,10.35,10.35,105
2024-05-06,10.35,10.35,10.34,10.34,5337
2024-05-07,10.34,10.36,10.33,10.3401,73401
2024-05-08,10.33,10.3573,10.33,10.33,8968
2024-05-09,10.355,10.358,10.33,10.34,11019
2024-05-10,10.33,10.35,10.33,10.35,27495
2024-05-13,10.34,10.3698,10.34,10.344,10509
2024-05-14,10.35,10.35,10.33,10.33,9365
2024-05-15,10.33,10.3359,10.33,10.3359,3464
2024-05-16,10.33,10.33,10.33,10.33,603
2024-05-17,10.3678,10.37,10.3678,10.37,803
2024-05-20,10.35,10.35,10.33,10.33,8828
2024-05-21,10.34,10.3502,10.34,10.35,4620
2024-05-22,10.3379,10.355,10.33,10.35,3190
2024-05-23,10.36,10.36,10.34,10.35,1516
2024-05-24,10.361,10.361,10.33,10.33,55664
2024-05-28,10.35,10.36,10.35,10.35,31700
2024-05-29,10.37,10.37,10.34,10.34,52213
2024-05-30,10.35,10.35,10.33,10.33,18087
2024-05-31,10.33,10.33,10.3,10.33,283320
2024-06-03,10.35,10.37,10.31,10.37,9804
2024-06-04,10.34,10.35,10.34,10.34,8899
2024-06-05,10.34,10.34,10.34,10.34,2140
2024-06-06,10.3304,10.34,10.33,10.34,31559
2024-06-07,10.34,10.35,10.31,10.33,559433
2024-06-10,10.3484,10.3484,10.33,10.33,35777
2024-06-11,10.33,10.33,10.33,10.33,44566
2024-06-12,10.33,10.33,10.29,10.31,131706
2024-06-13,10.31,10.3268,10.3,10.305,185138
2024-06-14,10.3,10.34,10.3,10.3,5496
2024-06-17,10.316,10.316,10.2899,10.3,57925
2024-06-18,10.3,10.3,10.3,10.3,3095
2024-06-20,10.3,10.32,10.3,10.32,4398
2024-06-21,10.3,10.3,10.3,10.3,5544
2024-06-25,10.301,10.31,10.3,10.3,21628
2024-06-26,10.301,10.301,10.301,10.301,1061
2024-06-27,10.31,10.31,10.3,10.31,80658
2024-06-28,10.3,10.305,10.27,10.275,78774
2024-07-01,10.26,10.26,10.26,10.26,120
2024-07-02,10.27,10.28,10.27,10.27,7150
2024-07-03,10.28,10.28,10.27,10.275,1443
2024-07-05,10.28,10.28,10.26,10.27,14503
2024-07-08,10.26,10.28,10.25,10.25,42359
2024-07-09,10.25,10.25,10.24,10.24,66465
2024-07-10,10.25,10.27,10.24,10.26,134217
2024-07-11,10.24,10.26,10.24,10.25,24971
2024-07-12,10.24,10.25,10.24,10.25,4212
2024-07-15,10.26,10.3,10.26,10.3,117284
2024-07-16,10.26,10.3,10.26,10.29,5094
2024-07-17,10.29,10.295,10.29,10.29,487925
2024-07-18,10.3,10.3,10.29,10.29,310502
2024-07-19,10.3,10.32,10.29,10.32,594649
2024-07-22,10.32,10.32,10.29,10.32,6959
2024-07-23,10.32,10.3206,10.3,10.31,10165
2024-07-24,10.32,10.32,10.32,10.32,1400
2024-07-25,10.32,10.32,10.3,10.31,60437
2024-07-26,10.3,10.33,10.3,10.32,49603
2024-07-29,10.31,10.32,10.3,10.305,14035
2024-07-30,10.301,10.305,10.29,10.3,63152
2024-07-31,10.3,10.3,10.29,10.295,60016
2024-08-01,10.35,10.35,10.24,10.26,67734
2024-08-02,10.2488,10.28,10.2488,10.265,21883
2024-08-05,10.23,10.28,10.23,10.23,67150
2024-08-06,10.24,10.25,10.235,10.24,89186
2024-08-07,10.25,10.27,10.24,10.25,137104
2024-08-08,10.27,10.27,10.24,10.2401,69253
2024-08-09,10.27,10.27,10.25,10.25,214134
2024-08-12,10.25,10.25,10.245,10.25,27662
2024-08-13,10.25,10.25,10.24,10.25,4371
2024-08-14,10.25,10.25,10.24,10.25,18850
2024-08-15,10.245,10.25,10.24,10.24,4939
