Date,Open,High,Low,Close,Volume
2021-11-04,98.185,98.9,98.185,98.8,330.7
2021-11-05,98.7,98.7,98.3,98.3,17615.2
2021-11-08,98.0,98.6,97.5,98.0,42031.1
2021-11-09,97.5,98.5,97.5,97.9,24546.8
2021-11-10,102.799,102.799,98.3,98.3,60.8
2021-11-11,98.3,98.4,97.6,97.6,8237.3
2021-11-12,98.0,98.0,97.986,98.0,59.0
2021-11-15,98.1,98.1,98.1,98.1,50.1
2021-11-16,98.1,98.4,98.1,98.4,30.0
2021-11-17,98.2,98.5,98.1,98.2,2966.1
2021-11-18,98.5,98.7,98.2,98.383,3600.0
2021-11-19,98.4,98.4,98.3,98.4,396.0
2021-11-22,98.3,98.5,98.3,98.5,264.2
2021-11-24,99.3,99.3,98.4,98.5,140.0
2021-11-29,98.5,98.5,98.4,98.4,442.4
2021-11-30,98.3,98.4,98.2,98.2,124793.8
2021-12-01,98.3,98.336,98.3,98.3,225.2
2021-12-02,98.4,98.4,98.3,98.3,42.3
2021-12-03,98.3,98.3,98.3,98.3,1023.9
2021-12-06,98.3,98.3,98.1,98.2,3510.1
2021-12-07,98.2,98.3,98.2,98.3,1340.0
2021-12-08,98.3,98.3,98.3,98.3,234.4
2021-12-09,98.3,98.3,98.3,98.3,342.0
2021-12-10,98.3,98.3,98.3,98.3,5540.7
2021-12-13,98.2,98.2,98.2,98.2,8133.6
2021-12-14,98.2,98.2,98.1,98.1,24050.1
2021-12-15,98.1,98.1,98.0,98.1,32368.6
2021-12-16,98.3,98.3,97.9,98.1,1544.0
2021-12-17,98.1,98.1,98.1,98.1,24.6
2021-12-22,97.7,98.2,97.7,98.2,533.9
2021-12-23,98.0,98.274,98.0,98.2,1061.0
2021-12-27,98.2,98.2,98.2,98.2,24.6
2021-12-29,98.3,98.3,98.3,98.3,32.8
2021-12-30,98.147,98.3,98.1,98.1,212.0
2022-01-04,98.25,98.25,98.2,98.2,1047.1
2022-01-05,98.2,98.2,98.1,98.1,4225.0
2022-01-06,98.2,98.2,98.2,98.2,20.0
2022-01-07,98.2,98.2,98.2,98.2,217.7
2022-01-10,98.2,98.2,98.1,98.2,526.2
2022-01-11,98.2,98.2,98.2,98.2,391.0
2022-01-12,98.2,98.236,98.1,98.236,2288.3
2022-01-13,98.3,98.3,98.3,98.3,176.0
2022-01-18,98.2,98.2,98.1,98.2,311.9
2022-01-19,98.2,98.3,98.2,98.2,353.5
2022-01-20,98.2,98.2,98.2,98.2,125.4
2022-01-21,98.2,98.2,98.2,98.2,101.7
2022-01-25,98.2,98.2,98.2,98.2,4865.2
2022-01-26,98.2,98.3,98.2,98.2,853.2
2022-01-27,98.3,98.3,98.1,98.3,384.8
2022-01-31,98.1,98.3,98.1,98.3,600.9
2022-02-01,98.4,98.4,98.384,98.4,212.2
2022-02-02,98.4,98.7,98.4,98.5,9320.5
2022-02-08,98.75,98.9,98.4,98.4,1856.3
2022-02-14,98.4,98.4,98.4,98.4,13.5
2022-02-17,98.519,98.519,98.3,98.3,75821.3
2022-02-22,98.307,98.307,98.307,98.307,10.0
2022-02-24,98.468,98.5,98.3,98.5,119.5
2022-02-25,98.5,98.5,98.5,98.5,120.6
2022-02-28,98.5,98.5,98.5,98.5,411.4
2022-03-03,98.5,98.5,98.5,98.5,10.7
2022-03-04,98.6,98.6,98.6,98.6,326.0
2022-03-07,98.5,98.6,98.5,98.6,4509.0
2022-03-08,98.55,98.6,98.55,98.6,128.9
2022-03-10,98.5,98.6,98.5,98.6,1272.0
2022-03-11,98.6,99.0,98.5,98.6,33524.7
2022-03-14,98.6,98.7,98.6,98.7,12889.0
2022-03-15,98.7,98.7,98.6,98.6,50.0
2022-03-17,98.7,98.7,98.7,98.7,53.1
2022-03-18,98.7,98.7,98.7,98.7,3574.4
2022-03-21,99.1,99.1,98.6,98.792,2295.7
2022-03-22,98.7,98.7,98.7,98.7,2185.0
2022-03-23,98.7,98.7,98.7,98.7,60.0
2022-03-24,98.7,98.9,98.6,98.9,180.0
2022-03-25,98.6,98.7,98.6,98.635,920.0
2022-03-28,98.7,98.8,98.7,98.7,11995.9
2022-03-29,98.7,98.7,98.7,98.7,10001.0
2022-03-30,98.7,98.8,98.7,98.7,10000.0
2022-03-31,98.7,99.0,98.7,98.9,21614.8
2022-04-01,98.8,99.097,98.8,99.097,10161.9
2022-04-04,99.1,99.1,98.7,99.0,33560.4
2022-04-05,98.8,98.9,98.8,98.9,270.6
2022-04-06,98.9,98.9,98.9,98.9,22.7
2022-04-08,99.0,99.0,99.0,99.0,11.9
2022-04-11,100.7,100.7,98.8,99.0,777.5
2022-04-12,99.0,99.0,99.0,99.0,230.0
2022-04-13,98.9,99.0,98.9,99.0,901.3
2022-04-25,99.3,99.3,99.3,99.3,41.6
2022-04-26,99.254,99.254,99.254,99.254,22.3
2022-04-28,99.1,99.1,99.1,99.1,20.9
2022-05-02,99.1,99.1,99.1,99.1,50.3
2022-05-11,99.0,99.0,98.9,98.95,490.9
2022-05-16,99.1,99.2,98.8,99.2,2009.9
2022-05-17,99.1,99.2,99.1,99.2,180152.3
2022-05-20,99.3,99.3,99.3,99.3,22.6
2022-05-23,99.3,99.3,99.3,99.3,10.3
2022-05-24,99.3,99.3,98.8,99.1,103283.3
2022-05-25,98.9,99.1,98.9,99.1,280.1
2022-05-26,99.2,99.2,99.1,99.2,494.0
2022-05-27,99.3,99.3,99.1,99.3,403.8
2022-05-31,99.0,99.0,99.0,99.0,80.0
2022-06-01,99.2,99.2,99.2,99.2,296.0
2022-06-03,100.1,100.1,100.1,100.1,314.6
2022-06-06,100.1,100.1,99.2,99.4,38376.0
2022-06-08,99.2,99.2,99.1,99.2,3786.7
2022-06-09,99.4,99.4,99.4,99.4,361.0
2022-06-10,99.4,99.4,99.35,99.4,436.5
2022-06-13,99.4,99.4,99.2,99.2,10840.9
2022-06-14,99.3,99.3,99.3,99.3,345.0
2022-06-15,99.3,99.4,99.3,99.4,461.1
2022-06-16,99.3,99.3,99.3,99.3,11.6
2022-06-17,99.4,99.401,99.3,99.401,150153.4
2022-06-21,100.1,100.1,99.3,99.3,376.6
2022-06-22,99.3,99.3,99.3,99.3,40.0
2022-06-23,99.3,99.3,99.3,99.3,11.3
2022-06-24,100.0,100.0,99.5,99.5,60.7
2022-06-27,100.1,100.1,99.5,99.5,119.9
2022-06-29,99.4,99.4,99.4,99.4,49193.6
2022-06-30,99.4,99.4,99.4,99.4,10.2
2022-07-05,99.6,99.6,99.6,99.6,17373.3
2022-07-06,99.4,99.7,99.4,99.7,39.6
