Date,Open,High,Low,Close,Volume
2024-09-27,50.1232,50.35,50.12,50.13,1851
2024-09-30,50.16,50.23,50.16,50.1901,21723
2024-10-01,50.24,50.43,50.231,50.25,5951
2024-10-02,50.23,50.28,50.22,50.27,10146
2024-10-03,50.25,50.26,50.249,50.2495,698
2024-10-04,50.26,50.27,50.26,50.27,4987
2024-10-07,50.27,50.2997,50.23,50.2885,4975
2024-10-08,50.295,50.32,50.295,50.31,1881
2024-10-09,50.285,50.285,50.285,50.285,75
2024-10-10,50.3032,50.3032,50.3,50.3,1006
2024-10-11,50.3362,50.3362,50.335,50.335,333
2024-10-14,50.37,50.41,50.3578,50.365,1593
2024-10-15,50.37,50.38,50.365,50.3785,1332
2024-10-16,50.39,50.78,50.3875,50.63,5666
2024-10-17,50.4,50.4,50.395,50.395,261
2024-10-18,50.41,50.46,50.405,50.405,4469
2024-10-21,50.4359,50.46,50.4359,50.44,3991
2024-10-22,50.48,50.49,50.48,50.49,4287
2024-10-23,50.49,50.49,50.46,50.475,2500
2024-10-24,50.49,50.525,50.49,50.499,3042
2024-10-25,50.57,50.57,50.49,50.505,2362
2024-10-28,50.54,50.55,50.5345,50.535,2265
2024-10-29,50.57,50.57,50.555,50.555,656
2024-10-30,50.55,50.56,50.5451,50.5451,5950
2024-10-31,50.5301,50.57,50.5301,50.56,5097
2024-11-01,50.3866,50.3998,50.3866,50.39,10449
2024-11-04,50.46,50.46,50.43,50.445,3004
2024-11-05,50.43,50.45,50.43,50.435,2815
2024-11-06,50.435,50.435,50.435,50.435,37
2024-11-07,50.46,50.555,50.45,50.45,510068
2024-11-08,50.51,50.52,50.51,50.51,4681
2024-11-11,50.52,50.53,50.52,50.525,1301
2024-11-12,50.53,50.5597,50.53,50.5508,3461
2024-11-13,50.57,50.57,50.56,50.56,2655
2024-11-14,50.54,50.57,50.54,50.555,7474
2024-11-15,50.6,50.6,50.58,50.58,1609
2024-11-18,50.6235,50.65,50.6235,50.635,7105
2024-11-19,50.6599,50.66,50.645,50.645,4552
2024-11-21,50.65,50.67,50.65,50.6551,4485
2024-11-22,50.685,50.7,50.685,50.69,2915
2024-11-25,50.725,50.74,50.7233,50.7233,6346
2024-11-26,50.7295,50.7295,50.72,50.7221,753
2024-11-27,50.7525,50.77,50.7525,50.7551,1357
2024-12-02,50.575,50.575,50.5186,50.56,2140
2024-12-03,50.5539,50.56,50.5539,50.555,52092
2024-12-04,50.619,50.66,50.6002,50.625,183265
2024-12-05,50.605,50.62,50.605,50.605,2204
2024-12-06,50.63,50.68,50.6,50.6369,36543
2024-12-09,50.65,50.65,50.64,50.64,1578
2024-12-10,50.65,50.66,50.65,50.66,41613
2024-12-11,50.6827,50.6827,50.65,50.6801,3302
2024-12-12,50.69,50.7,50.68,50.68,12614
2024-12-13,50.7363,50.765,50.72,50.745,20482
2024-12-16,50.77,50.77,50.755,50.755,5344
2024-12-17,50.77,50.82,50.765,50.765,5693
2024-12-18,50.78,50.78,50.74,50.74,3165
2024-12-19,50.765,50.78,50.765,50.77,4081
2024-12-20,50.8192,50.8192,50.8,50.8,1301
2024-12-23,50.85,50.86,50.82,50.845,15137
2024-12-24,50.83,50.84,50.8299,50.831,2445
2024-12-26,50.84,50.8484,50.83,50.84,8954
2024-12-27,50.5804,50.5813,50.57,50.58,3148
2024-12-30,50.61,50.61,50.6,50.61,921
2024-12-31,50.619,50.65,50.6,50.615,6549
2025-01-02,50.63,50.638,50.62,50.63,4811
2025-01-03,50.67,50.67,50.6592,50.66,7849
2025-01-06,50.7,50.71,50.67,50.695,8156
2025-01-07,50.695,50.71,50.69,50.7,6626
2025-01-08,50.6849,50.72,50.6849,50.7171,8745
2025-01-10,50.74,50.75,50.74,50.745,6236
2025-01-13,50.77,51.03,50.7443,50.77,14763
2025-01-14,50.761,50.78,50.761,50.78,12702
2025-01-15,50.7799,50.83,50.77,50.78,31948
2025-01-16,50.81,50.835,50.805,50.805,11280
2025-01-17,50.835,50.85,50.821,50.84,11296
2025-01-21,50.855,50.88,50.85,50.87,7122
2025-01-22,50.9,50.9,50.8646,50.8646,4835
2025-01-23,50.88,50.885,50.87,50.8801,8564
2025-01-24,50.905,50.92,50.905,50.92,11847
2025-01-27,50.94,50.96,50.936,50.9416,32933
2025-01-28,50.98,50.98,50.97,50.97,3137
2025-01-29,50.99,50.99,50.98,50.985,5866
2025-01-30,51.01,51.04,51.005,51.005,37013
2025-01-31,51.04,51.05,51.035,51.035,8358
2025-02-03,50.81,50.82,50.79,50.805,17566
2025-02-04,50.81,50.84,50.81,50.83,35349
2025-02-05,50.8448,50.88,50.84,50.8601,117342
2025-02-06,50.85,50.88,50.85,50.88,11577
2025-02-07,50.875,50.89,50.87,50.88,5109
2025-02-10,50.86,50.87,50.856,50.8567,9626
