Date,Open,High,Low,Close,Volume
2023-12-19,25.58,25.58,25.5462,25.5462,110
2023-12-20,25.54,25.66,25.2117,25.2117,205
2023-12-21,25.48,25.5122,25.41,25.5122,205
2023-12-22,25.47,25.47,25.4127,25.4127,215
2023-12-26,25.54,25.54,25.5076,25.5076,224
2023-12-27,25.54,25.54,25.5091,25.5091,226
2023-12-28,25.55,25.57,25.4892,25.4892,214
2023-12-29,25.34,25.45,25.34,25.3773,215
2024-01-02,25.08,25.08,24.66,24.7031,218
2024-01-03,24.56,24.56,24.377,24.377,200
2024-01-04,24.44,24.44,24.2633,24.2633,504
2024-01-05,24.29,24.39,24.29,24.297,600
2024-01-08,24.65,24.9598,24.65,24.935,600
2024-01-09,24.75,25.12,24.75,25.0877,200
2024-01-10,25.2,25.4396,25.2,25.4396,236
2024-01-11,25.71,25.71,25.38,25.6263,599
2024-01-12,25.76,25.78,25.7383,25.7383,1035
2024-01-16,25.66,25.7261,25.66,25.7261,400
2024-01-17,25.59,25.6171,25.59,25.6171,100
2024-01-18,26.05,26.05,25.87,25.8767,200
2024-01-19,26.07,26.3268,26.07,26.3268,994
2024-01-22,26.7,26.7,26.6056,26.6056,550
2024-01-23,26.71,26.71,26.55,26.7022,614
2024-01-24,27.17,27.23,26.8454,26.8454,1202
2024-01-25,27.17,27.17,26.8486,26.8486,245
2024-01-26,26.85,26.91,26.85,26.91,103
2024-01-29,27.0,27.312,27.0,27.312,203
2024-01-30,27.34,27.34,27.19,27.2183,845
2024-01-31,26.93,26.98,26.5906,26.5906,208
2024-02-01,26.81,26.9014,26.81,26.9014,203
2024-02-02,27.09,27.3,27.09,27.29,4269
2024-02-05,27.25,27.25,26.9,27.1694,5945
2024-02-06,27.28,27.28,27.0,27.0066,342
2024-02-07,27.43,27.51,27.43,27.5053,7016
2024-02-08,27.61,27.81,27.61,27.8022,1923
2024-02-09,28.17,28.36,28.02,28.2598,7048
2024-02-12,28.24,28.24,27.9453,27.9453,632
2024-02-13,27.18,27.36,26.76,27.343,4326
2024-02-14,27.64,27.7856,27.64,27.7856,1381
2024-02-15,27.92,27.93,27.5004,27.603,1506
2024-02-16,27.69,27.69,27.28,27.28,3920
2024-02-20,27.11,27.11,26.75,26.9097,1843
2024-02-21,26.17,26.29,26.1048,26.29,1056
2024-02-22,27.02,27.1,26.9892,27.0171,1838
2024-02-23,27.17,27.17,27.09,27.09,418
2024-02-26,27.22,27.3201,27.181,27.181,446
2024-02-27,27.39,27.39,27.2262,27.2262,4208
2024-02-28,27.13,27.13,27.0858,27.0858,503
2024-02-29,27.18,27.25,27.13,27.2136,534
2024-03-01,27.3,27.38,27.2699,27.3419,763
2024-03-04,27.36,27.36,27.15,27.16,454
2024-03-05,26.98,26.98,26.13,26.2824,4469
2024-03-06,26.9,26.9,26.5196,26.5196,2205
2024-03-07,26.81,26.8767,26.81,26.8767,222
2024-03-08,26.92,26.92,26.51,26.66,298
2024-03-11,26.58,26.63,26.58,26.6219,516
2024-03-12,27.05,27.1425,27.0,27.1425,727
2024-03-13,27.16,27.18,27.0138,27.0138,1839
2024-03-14,27.19,27.19,26.9246,26.9246,741
2024-03-15,26.66,26.66,26.3099,26.31,1169
2024-03-18,26.66,26.69,26.5459,26.5459,706
2024-03-19,26.52,26.77,26.5007,26.7252,1561
2024-03-20,26.89,27.0091,26.89,27.0091,711
2024-03-21,27.41,27.41,27.15,27.1898,314
2024-03-22,27.17,27.17,27.1301,27.1301,270
2024-03-25,27.06,27.06,26.9675,26.9675,312
2024-03-26,27.17,27.22,27.032,27.032,445
2024-03-27,27.34,27.34,26.8921,26.8921,102
2024-03-28,26.98,26.98,26.9129,26.9129,231
2024-04-01,27.05,27.05,26.847,26.9426,839
2024-04-02,26.6,26.6601,26.532,26.6601,763
2024-04-03,26.62,26.7028,26.62,26.7028,255
2024-04-04,27.07,27.07,26.3683,26.3683,460
2024-04-05,26.56,26.746,26.56,26.746,125
2024-04-08,26.73,26.83,26.73,26.7839,1068
2024-04-09,27.14,27.14,26.68,26.8027,335
2024-04-10,26.49,26.6,26.49,26.6,223
2024-04-11,26.74,26.7886,26.74,26.7886,387
2024-04-12,26.57,26.57,26.37,26.37,114
2024-04-15,26.57,26.57,25.7106,25.7106,395
2024-04-16,25.72,25.7343,25.635,25.7343,302
2024-04-17,25.89,25.89,25.5066,25.5066,114
2024-04-18,25.61,25.61,25.3094,25.3094,215
2024-04-19,25.39,25.39,25.39,25.39,131
2024-04-22,25.1,25.2246,25.1,25.2246,106895
2024-04-23,25.46,25.805,25.4,25.7575,13566
2024-04-24,25.98,25.98,25.8228,25.8228,34647
2024-04-25,25.28,25.4753,25.02,25.4753,3331
2024-04-26,25.89,25.97,25.8657,25.9459,1031
2024-04-29,26.07,26.07,25.84,25.8451,3227
2024-04-30,25.74,25.74,25.2999,25.2999,255
2024-05-01,25.29,25.3159,25.29,25.3159,102
2024-05-02,25.61,25.61,25.603,25.603,117
2024-05-03,26.01,26.01,25.82,25.9012,306
2024-05-06,26.04,26.2124,26.04,26.2124,699
2024-05-07,26.19,26.27,26.19,26.2188,8965
2024-05-08,26.09,26.2,26.09,26.1748,12384
2024-05-09,26.24,26.24,26.14,26.1508,2121
2024-05-10,26.18,26.205,26.1218,26.2048,1261
2024-05-13,26.43,26.43,26.17,26.2372,1738
2024-05-14,26.22,26.46,26.22,26.3897,2596
2024-05-15,26.59,26.9987,26.59,26.9987,784
2024-05-16,27.07,27.07,26.9442,26.9442,7274
2024-05-17,27.05,27.05,27.0,27.0344,1113
2024-05-20,27.14,27.36,27.14,27.2763,3269
2024-05-21,27.13,27.24,27.13,27.23,8430
2024-05-22,27.3,27.3,26.98,27.0901,2144
2024-05-23,27.21,27.21,26.71,26.855,610
2024-05-24,26.73,26.74,26.67,26.6745,10906
2024-05-28,26.49,26.52,26.35,26.4874,1423
2024-05-29,26.28,26.3712,26.28,26.3712,201
2024-05-30,26.16,26.16,25.1287,25.1287,1716
