Date,Open,High,Low,Close,Volume
2024-12-03,11.74,11.75,11.74,11.75,5292
2024-12-30,11.77,11.79,11.77,11.79,8600
2025-01-07,11.84,11.84,11.84,11.84,8640
2025-01-15,11.89,11.9,11.89,11.9,1382
2025-01-21,11.9,11.91,11.9,11.91,1394
2025-01-22,11.91,11.93,11.9002,11.9002,3100
2025-01-24,11.92,11.93,11.84,11.84,3703
2025-01-27,11.95,11.96,11.87,11.8707,2814
2025-01-31,11.8,11.8,11.8,11.8,631
2025-02-04,12.12,12.12,12.12,12.12,278
2025-02-06,12.125,12.1325,12.1,12.1,844
2025-02-10,12.02,12.02,11.98,11.98,570
