Date,Open,High,Low,Close,Volume
2005-02-25,1.84034,1.861,1.80401,1.81429,74509.6875
2005-02-28,1.81429,1.89221,1.80401,1.89221,86159.0625
2005-03-01,1.86622,1.86622,1.81429,1.81429,4442.4375
2005-03-02,1.81429,1.86622,1.78846,1.86622,20361.46875
2005-03-03,1.86622,1.86622,1.76258,1.76258,20714.15625
2005-03-04,1.78846,1.81429,1.78846,1.81429,37883.625
2005-03-07,1.73665,1.81429,1.73665,1.78846,26900.4375
2005-03-08,1.78846,1.85583,1.68483,1.81429,42276.1875
2005-03-10,1.73665,1.77808,1.68483,1.77808,40509.1875
2005-03-11,1.76258,1.78846,1.68483,1.78846,11123.90625
2005-03-14,1.68483,1.76258,1.65889,1.76258,36709.78125
2005-03-15,1.62785,1.70044,1.62785,1.68994,11768.71875
2005-03-16,1.71599,1.79891,1.70543,1.76258,19298.0625
2005-03-17,1.6329,1.80924,1.60702,1.80924,24707.71875
2005-03-18,1.61218,1.73665,1.61218,1.73665,35060.34375
2005-03-21,1.6329,1.72109,1.6329,1.72109,3085.125
2005-03-22,1.6329,1.71065,1.59152,1.71065,51091.59375
2005-03-23,1.58102,1.6329,1.58102,1.6329,17710.96875
2005-03-24,1.6329,1.72109,1.6329,1.6329,9848.53125
2005-03-28,1.58102,1.72109,1.55514,1.71065,11603.0625
2005-03-29,1.55514,1.71065,1.55514,1.67433,44467.125
2005-03-30,1.6329,1.6329,1.58102,1.6174,31392.75
2005-03-31,1.58102,1.6329,1.55514,1.6174,61148.53125
2005-04-01,1.6174,1.6174,1.37375,1.55514,48036.75
2005-04-04,1.55514,1.55514,1.37375,1.50344,41278.6875
2005-04-05,1.47745,1.50344,1.37892,1.45151,23063.625
2005-04-06,1.50344,1.50344,1.37892,1.50344,115357.3125
2005-04-07,1.39958,1.50344,1.39958,1.45151,179248.96875
2005-04-08,1.45151,1.45667,1.45151,1.45667,1932.65625
2005-04-11,1.45667,1.45667,1.45151,1.45151,5612.71875
2005-04-12,1.45151,1.47745,1.42563,1.45151,27042.9375
2005-04-13,1.42563,1.45151,1.42563,1.45151,21239.625
2005-04-14,1.45151,1.47745,1.42563,1.45151,21182.625
2005-04-15,1.45151,1.45151,1.35815,1.41524,27728.71875
2005-04-18,1.34782,1.39958,1.16632,1.32188,41654.53125
2005-04-19,1.29594,1.35309,1.24413,1.29594,7714.59375
2005-04-20,1.16632,1.34782,1.16632,1.34265,24070.03125
2005-04-21,1.37375,1.37375,1.27012,1.34782,25657.125
2005-04-22,1.37375,1.37375,1.34782,1.34782,1932.65625
2005-04-25,1.37375,1.37375,1.29594,1.34782,11998.5
2005-04-26,1.29594,1.39958,1.29594,1.37375,18884.8125
2005-04-27,1.39958,1.39958,1.34782,1.37375,15625.125
2005-04-28,1.34782,1.37375,1.34782,1.37375,5286.75
2005-04-29,1.37375,1.39958,1.29594,1.38925,15076.5
2005-05-02,1.34782,1.45151,1.34782,1.45151,21410.625
2005-05-03,1.45151,1.45151,1.38925,1.42563,6136.40625
2005-05-04,1.42563,1.50344,1.42563,1.50344,28956.0
2005-05-05,1.50344,1.50344,1.46706,1.47745,23149.125
2005-05-06,1.47745,1.47745,1.45151,1.45151,51565.40625
2005-05-09,1.42563,1.58102,1.42563,1.57603,59199.84375
2005-05-10,1.60702,1.71065,1.52932,1.65889,43165.03125
2005-05-11,1.65889,1.71065,1.65889,1.71065,6560.34375
2005-05-12,1.65889,1.71065,1.60702,1.71065,12276.375
2005-05-13,1.58102,1.76258,1.58102,1.65889,23585.53125
2005-05-16,1.65889,1.71065,1.58102,1.6329,6173.8125
2005-05-17,1.64334,1.76258,1.64334,1.71599,8485.875
2005-05-18,1.68483,1.73665,1.68483,1.71065,15096.09375
2005-05-19,1.73665,1.76258,1.60702,1.76258,45040.6875
2005-05-20,1.64334,1.77297,1.64334,1.77297,773.0625
2005-05-23,1.6329,1.76258,1.6329,1.76258,1583.53125
2005-05-24,1.76258,1.76769,1.68483,1.76258,63544.3125
2005-05-25,1.73665,1.77297,1.73665,1.77297,4437.09375
2005-05-26,1.77297,1.77297,1.58102,1.73665,21510.375
2005-05-27,1.71065,1.77297,1.71065,1.77297,2420.71875
2005-05-31,1.76258,1.78846,1.55514,1.76258,33745.78125
2005-06-01,1.76258,1.76258,1.6329,1.75731,19643.625
2005-06-02,1.68483,1.76258,1.65889,1.73665,38521.3125
2005-06-03,1.76258,1.76258,1.76258,1.76258,9700.6875
2005-06-06,1.58102,1.76258,1.58102,1.76258,8097.5625
2005-06-07,1.68483,1.76258,1.58102,1.71065,46303.59375
