Date,Open,High,Low,Close,Volume
2021-07-15,24.855,24.855,24.636,24.712,37303
2021-07-16,24.695,24.695,24.505,24.505,330519
2021-07-19,24.169,24.255,24.169,24.255,24134
2021-07-20,24.517,24.676,24.507,24.668,49928
2021-07-21,24.686,24.755,24.681,24.755,26283
2021-07-22,24.845,24.914,24.8,24.893,51577
2021-07-23,24.964,25.153,24.964,25.118,25987
2021-07-26,25.083,25.202,25.083,25.202,27494
2021-07-27,25.024,25.024,24.815,24.975,41823
2021-07-28,24.996,25.093,24.996,25.037,50895
2021-07-29,25.163,25.173,25.103,25.128,21947
2021-07-30,25.02,25.053,24.884,24.884,40693
2021-08-02,24.989,25.093,24.904,24.904,60269
2021-08-03,24.825,25.103,24.825,25.076,47951
2021-08-04,25.043,25.073,25.007,25.012,49296
2021-08-05,25.133,25.193,25.123,25.163,53585
2021-08-06,25.123,25.123,25.063,25.093,22892
2021-08-09,25.033,25.083,25.033,25.051,49662
2021-08-10,25.043,25.098,25.021,25.033,49222
2021-08-11,25.093,25.093,24.984,25.068,33535
2021-08-12,25.033,25.123,25.033,25.123,49857
2021-08-13,25.143,25.173,25.133,25.155,21475
2021-08-16,25.123,25.232,24.994,25.163,41667
2021-08-17,24.964,24.964,24.745,24.863,28863
2021-08-18,24.934,24.944,24.725,24.725,26398
2021-08-19,24.755,24.795,24.646,24.72,52376
2021-08-20,24.894,24.963,24.855,24.963,24603
2021-08-23,25.148,25.282,25.148,25.233,50086
2021-08-24,25.282,25.381,25.282,25.327,42465
2021-08-25,25.342,25.381,25.342,25.369,33524
2021-08-26,25.312,25.312,25.212,25.212,31043
2021-08-27,25.262,25.481,25.262,25.461,73330
2021-08-30,25.511,25.65,25.511,25.6,69915
2021-08-31,25.6,25.6,25.541,25.589,43286
2021-09-01,25.68,25.703,25.612,25.612,23715
2021-09-02,25.68,25.71,25.57,25.63,47628
2021-09-03,25.6,25.63,25.541,25.61,43957
2021-09-07,25.6,25.64,25.57,25.62,52397
2021-09-08,25.61,25.615,25.414,25.556,27701
2021-09-09,25.62,25.66,25.541,25.56,25668
2021-09-10,25.6,25.6,25.362,25.381,44136
2021-09-13,25.66,25.66,25.282,25.372,30278
2021-09-14,25.511,25.521,25.262,25.342,74135
2021-09-15,25.282,25.477,25.193,25.477,64665
2021-09-16,25.431,25.55,25.342,25.491,79795
2021-09-17,25.481,25.481,25.252,25.332,84487
2021-09-20,24.914,24.954,24.621,24.845,85023
2021-09-21,25.014,25.272,24.855,24.895,30665
2021-09-22,24.984,25.242,24.904,25.113,92602
2021-09-23,25.242,25.406,25.163,25.335,53213
2021-09-24,25.212,25.391,25.143,25.351,117874
2021-09-27,25.173,25.332,25.173,25.263,72275
2021-09-28,25.004,25.004,24.686,24.686,33067
2021-09-29,24.855,24.914,24.715,24.715,52460
2021-09-30,24.785,24.785,24.474,24.474,44209
2021-10-01,24.606,24.686,24.387,24.616,42700
2021-10-04,24.616,24.616,24.248,24.288,35463
2021-10-05,24.417,24.616,24.417,24.477,54920
2021-10-06,24.387,24.586,24.263,24.586,75645
2021-10-07,24.666,24.954,24.666,24.835,51899
2021-10-08,24.795,24.825,24.686,24.686,31423
2021-10-11,24.676,24.835,24.567,24.567,71792
2021-10-12,24.596,24.656,24.581,24.585,39417
2021-10-13,24.656,24.735,24.609,24.721,33112
