Date,Open,High,Low,Close,Volume
2005-02-25,122.314,123.544,122.224,122.757,881.39160557174
2005-02-28,122.314,122.978,120.984,121.338,2402.7978624923
2005-03-01,121.338,122.224,121.338,122.224,905.28548588874
2005-03-02,122.659,123.314,122.224,122.494,434.72233270661
2005-03-03,122.494,123.077,122.084,122.224,797.15348669897
2005-03-04,122.659,123.389,122.224,122.224,917.72005625781
2005-03-07,122.659,124.619,122.659,124.233,2728.4129355879
2005-03-08,124.619,125.226,124.15,124.472,1412.5428124149
2005-03-09,123.47,124.898,123.218,124.15,1799.4773844875
2005-03-10,124.391,124.996,123.151,124.718,1460.8182032594
2005-03-11,125.226,125.536,123.544,123.897,1473.4965887339
2005-03-14,123.544,124.233,122.978,123.47,591.86116805681
2005-03-15,123.47,125.145,123.47,125.078,1207.0066786675
2005-03-16,124.996,125.456,123.544,123.987,1062.058598581
2005-03-17,124.15,124.8,123.733,124.8,929.05745865314
2005-03-18,125.145,125.536,123.151,125.309,1231.388189195
2005-03-21,125.645,125.972,125.078,125.536,1123.3780975579
2005-03-22,125.536,126.382,125.536,126.064,567.72347263452
2005-03-23,125.536,125.9,123.987,124.391,2390.9728298863
2005-03-24,124.324,124.898,124.15,124.619,1255.5258846173
2005-03-28,124.8,125.078,121.19,125.078,3743.2933112981
2005-03-29,122.757,122.757,121.412,122.314,1473.4965887339
2005-03-30,122.494,122.494,121.412,122.389,1255.5258846173
2005-03-31,122.494,122.494,121.748,121.748,833.23812227977
2005-04-01,122.084,122.389,121.502,121.502,1159.2189180334
2005-04-04,121.822,121.92,119.919,121.642,1533.353197079
2005-04-05,121.92,122.659,121.19,121.338,1315.5044005151
2005-04-06,121.558,122.659,121.558,122.314,1014.270837947
2005-04-07,122.494,122.659,121.642,122.56,1039.2618862378
2005-04-08,122.158,122.56,121.091,121.822,1629.9039787682
2005-04-11,122.389,122.659,121.255,121.92,1835.0743898577
2005-04-12,122.56,123.151,122.224,122.224,1485.3216213397
2005-04-13,122.56,122.757,122.314,122.389,156.65120513965
2005-04-14,122.224,122.224,120.518,120.518,2318.4378360668
2005-04-15,120.518,121.558,120.518,121.19,808.97851930484
2005-04-18,121.19,121.255,119.919,121.255,2184.9490659283
2005-04-19,121.19,121.19,119.525,119.919,1678.5450922707
2005-04-20,120.764,121.255,120.263,121.255,1050.3554735278
2005-04-21,121.986,122.314,121.091,121.502,808.97851930484
2005-04-22,121.642,121.642,121.19,121.255,398.6376971258
2005-04-25,121.255,121.92,120.328,120.328,2474.9671336539
2005-04-26,120.412,121.558,120.002,121.558,2040.6105236052
2005-04-27,120.764,121.502,119.919,121.502,748.26855809118
2005-04-28,121.338,121.642,120.518,120.518,784.23128611935
2005-04-29,120.764,122.314,120.764,122.314,1050.3554735278
2005-05-02,121.92,121.92,121.255,121.255,350.48421383385
2005-05-03,121.642,122.494,121.642,121.822,483.24153865648
2005-05-04,121.642,123.314,121.642,123.314,1303.9231830145
