Date,Open,High,Low,Close,Volume
2021-07-12,25.59,25.63,25.53,25.57,144083
2021-07-13,25.51,25.67,25.51,25.62,224729
2021-07-14,25.62,25.7,25.53,25.62,35773
2021-07-15,25.6999,25.7,25.56,25.63,198782
2021-07-16,25.63,25.7,25.58,25.625,69040
2021-07-19,25.55,25.6,25.43,25.52,132716
2021-07-20,25.57,25.65,25.5,25.54,90597
2021-07-21,25.59,25.6,25.5,25.51,79276
2021-07-22,25.51,25.68,25.5,25.57,95803
2021-07-23,25.57,25.67,25.52,25.67,77391
2021-07-26,25.57,25.64,25.47,25.55,118218
2021-07-27,25.505,25.53,25.41,25.5,120400
2021-07-28,25.5,25.52,25.4401,25.5,312264
2021-07-29,25.52,25.56,25.46,25.5,249021
2021-07-30,25.51,25.58,25.35,25.4,948131
2021-08-02,25.42,25.5,25.39,25.49,37790
2021-08-03,25.49,25.49,25.38,25.42,80876
2021-08-04,25.37,25.5,25.355,25.48,97597
2021-08-05,25.5,25.53,25.37,25.49,37235
2021-08-06,25.475,25.5,25.44,25.46,11475
2021-08-09,25.48,25.48,25.35,25.4,68783
2021-08-10,25.26,25.4,25.02,25.39,237442
2021-08-11,25.4,25.52,25.3606,25.49,87144
2021-08-12,25.35,25.54,25.35,25.5,95356
2021-08-13,25.54,25.55,25.43,25.5,134596
2021-08-16,25.61,25.61,25.375,25.5,132625
2021-08-17,25.54,25.56,25.31,25.5,25796
2021-08-18,25.47,25.49,25.3201,25.35,30495
2021-08-19,25.34,25.38,25.32,25.38,39894
2021-08-20,25.42,25.5,25.3609,25.5,217730
2021-08-23,25.55,25.65,25.4545,25.555,37820
2021-08-24,25.5299,25.59,25.5272,25.55,50386
2021-08-25,25.42,25.59,25.41,25.46,48783
2021-08-26,25.4384,25.4384,25.39,25.42,14244
2021-08-27,25.39,25.545,25.37,25.5,79654
2021-08-30,25.45,25.5773,25.35,25.37,56975
2021-08-31,25.35,25.37,25.32,25.35,23500
2021-09-01,25.42,25.47,25.335,25.4,75811
2021-09-02,25.4399,25.5,25.31,25.49,37731
2021-09-03,25.58,25.59,25.43,25.55,7773
2021-09-07,25.5,25.54,25.41,25.42,22002
2021-09-08,25.49,25.49,25.37,25.45,16927
2021-09-09,25.46,25.46,25.4,25.42,22900
2021-09-10,25.43,25.48,25.3801,25.46,20229
2021-09-13,25.52,25.53,25.41,25.49,39910
2021-09-14,25.48,25.5,25.38,25.46,43189
2021-09-15,25.45,25.5,25.4,25.44,21710
2021-09-16,25.49,25.5525,25.435,25.45,36339
2021-09-17,25.48,25.48,25.42,25.44,28953
2021-09-20,25.38,25.46,25.3184,25.34,49682
2021-09-21,25.37,25.45,25.32,25.39,45193
2021-09-22,25.39,25.47,25.36,25.44,123630
2021-09-23,25.42,25.47,25.25,25.36,62206
2021-09-24,25.33,25.33,25.26,25.3,49159
2021-09-27,25.25,25.32,25.1559,25.19,39153
2021-09-28,25.11,25.11,24.94,25.02,51941
2021-09-29,25.08,25.23,25.05,25.23,125959
2021-09-30,25.07,25.07,24.8002,24.96,146059
2021-10-01,25.0,25.05,24.91,24.94,40674
2021-10-04,24.95,24.95,24.61,24.66,99296
2021-10-05,24.66,24.7487,24.44,24.58,98961
2021-10-06,24.55,24.555,24.22,24.37,212956
2021-10-07,24.35,24.49,24.18,24.25,317389
2021-10-08,24.3,24.36,24.09,24.22,48651
2021-10-11,24.27,24.32,24.16,24.225,55988
2021-10-12,24.25,24.3,24.24,24.28,106944
2021-10-13,24.34,24.59,24.32,24.43,105058
2021-10-14,24.49,24.76,24.41,24.63,180375
2021-10-15,24.75,24.79,24.54,24.54,92096
2021-10-18,24.5,24.55,24.41,24.5,110869
2021-10-19,24.5,24.69,24.27,24.28,120123
2021-10-20,24.36,24.4,24.22,24.27,157691
2021-10-21,24.3,24.4,24.29,24.33,56682
2021-10-22,24.38,24.45,24.27,24.37,67179
2021-10-25,24.37,24.5,24.37,24.49,114521
2021-10-26,24.54,24.62,24.51,24.565,57056
2021-10-27,24.62,24.87,24.56,24.85,56388
2021-10-28,24.85,24.88,24.66,24.7807,56588
2021-10-29,24.76,24.87,24.75,24.8,41792
2021-11-01,24.83,25.1,24.78,24.96,48866
2021-11-02,25.02,25.08,24.83,24.92,72101
2021-11-03,24.97,25.09,24.8508,25.04,57208
2021-11-04,25.09,25.12,25.02,25.02,49175
2021-11-05,25.15,25.15,25.0501,25.07,43187
2021-11-08,25.13,25.23,25.1172,25.2,88565
2021-11-09,25.23,25.23,25.05,25.05,25530
2021-11-10,25.07,25.07,24.6375,24.79,46791
2021-11-11,24.89,24.93,24.7362,24.87,34399
2021-11-12,24.95,24.95,24.7708,24.8,26765
2021-11-15,24.88,24.88,24.65,24.81,66511
2021-11-16,24.8,25.05,24.72,24.91,98452
2021-11-17,24.89,25.0,24.7597,25.0,54365
2021-11-18,25.03,25.03,24.9,24.91,33755
2021-11-19,24.94,24.98,24.86,24.89,49298
2021-11-22,24.94,24.94,24.72,24.72,45864
2021-11-23,24.69,24.7288,24.53,24.59,86491
2021-11-24,24.63,24.68,24.5309,24.64,41008
2021-11-26,24.55,24.66,24.37,24.5,53472
2021-11-29,24.68,24.79,24.61,24.75,43760
2021-11-30,24.8,24.8,24.62,24.65,40147
2021-12-01,24.78,24.98,24.7474,24.75,48208
2021-12-02,24.77,24.97,24.77,24.91,35371
2021-12-03,24.91,24.91,24.78,24.855,30868
2021-12-06,24.89,24.954,24.828,24.85,61641
2021-12-07,24.9899,25.13,24.87,25.0251,66995
2021-12-08,25.03,25.03,24.87,24.97,43447
2021-12-09,24.96,25.04,24.91,24.97,46961
2021-12-10,25.05,25.05,24.9,24.9,49759
2021-12-13,24.98,25.02,24.9,24.94,83201
2021-12-14,24.9,24.99,24.79,24.87,87912
2021-12-15,24.91,24.91,24.8,24.81,72231
2021-12-16,24.9,24.94,24.8102,24.91,35233
2021-12-17,24.91,25.1,24.8603,24.9,33255
2021-12-20,24.88,24.92,24.81,24.92,42935
2021-12-21,24.96,25.01,24.92,25.01,40015
2021-12-22,25.01,25.06,25.0096,25.05,24849
2021-12-23,25.1,25.1258,24.9601,25.0,41317
2021-12-27,25.08,25.08,24.95,24.98,24780
2021-12-28,25.05,25.05,24.98,25.0,24999
2021-12-29,25.0,25.09,24.974,25.0,38757
2021-12-30,24.73,24.91,24.73,24.8649,41379
2021-12-31,24.81,25.002,24.81,25.0,31307
2022-01-03,25.05,25.05,24.9001,24.94,37140
2022-01-04,24.85,24.89,24.65,24.71,50457
2022-01-05,24.77,24.77,24.45,24.47,52860
2022-01-06,24.5,24.58,24.27,24.41,87462
